"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",3237.85777385159,60549.4328621908,195802.369478799,637659.02959364
"MILLER",5237.77949813134,71982.2564513259,227058.887880406,728361.61203061
"CASULA",1842.43593779513,55377.740036517,185834.202417679,659346.52842662
"CARTWRIGHT",12169.2574695684,95946.0143858355,298749.5540391,1384211.34968646
"HECKENBERG",2297.9619047619,55976.8171428571,149939.074285714,469326.308888889
"SADLEIR",2968.83953630262,61347.019219036,159096.012812691,524991.441122636
"LURNEA",7317.00010960105,74641.7319158264,213837.279592284,756040.177444103
"ASHCROFT",2118.24027889515,56979.493429874,142078.148833467,451479.567980692
"LIVERPOOL",18812.403403176,89605.2854087407,330332.707152727,1397926.88863021
"MOOREBANK",2427.47106524143,43808.1893352992,206366.587746242,1244678.86214523
"WARWICK FARM",11942.6734693878,74208.8014001717,332811.263390793,1181338.55049204
"WATTLE GROVE",1012.14731805591,5388.80622009569,56465.6993200705,211830.065222866
"CHIPPING NORTON",2311.77263397948,50216.5541619156,208681.766020525,1375286.17023945
"HOLSWORTHY",1365.81803600071,11759.9278203529,138830.428087685,744425.899661379
"HAMMONDVILLE",1754.9900918318,6417.55050749154,33131.3211696472,189094.315611406
"MOUNT PRITCHARD",1591.38405797101,61062.2173913043,175506.451086957,660225.434782609
"PRESTONS",1719.42505609574,41087.7220643231,155539.257217651,402565.653328347
"VOYAGER POINT",196.593533487298,4455.35623556582,40928.8135103926,559498.786374134
"PLEASURE POINT",265.548561151079,1209.53956834532,12875.131294964,202797.206834532
"WEST HOXTON",2121.74331550802,46120.0428877005,165692.311229947,380565.702139037
"CECIL HILLS",871.953682611997,10650.1591495824,80878.6191343964,308848.182080486
"HOXTON PARK",2904.51812537553,62458.8029240937,198134.685559784,483265.431203685
"HINCHINBROOK",2139.9598274209,49223.5848513902,182372.280057526,532820.877085331
"GREEN VALLEY",2351.21685689201,36273.7633011413,172304.802282704,526503.630201931
"HORNINGSEA PARK",2696.92213005084,30027.522879315,127415.622424405,290563.883596468
"MIDDLETON GRANGE",3962.73112859602,63137.0008605852,216883.61089255,537201.136095402
"DENHAM COURT",140.513755274262,814.001687763713,5380.2935021097,49771.5311392405
"EDMONDSON PARK",742.715866623127,15419.0558034904,106654.951525707,257552.926163782
"LUDDENHAM",2351.5048951049,6245.81958041958,8942.03776223776,12846.7384615385
"CARNES HILL",2218.21729776248,45301.9358864028,156473.226333907,370066.617039587
"ELIZABETH HILLS",1038.58492607285,17525.9682654165,112977.496574107,319665.155066715
"CECIL PARK",323,323,323,323
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",136.547309833024,5700.69944341373,46404.46567718,236367.294990724
"ROSSMORE",4367.15677143966,69992.9399818911,221388.689949554,570680.179278231
"BRINGELLY",2386.81462548811,26603.463684771,79793.1855165069,233737.061838836
"GREENDALE",108.333333333333,442.083333333333,913.333333333333,1587.66666666667
"BADGERYS CREEK",11509.2,77434.28,183751.92,559685.44
"KEMPS CREEK",7096.40082844322,78096.1999309631,249640.491404902,673867.482499137
"WALLACIA",16.0407079646018,206.353982300885,3450.51504424779,18269.4566371681
"AUSTRAL",17175.7495433356,93361.6456576698,260785.014584034,527142.943169032
"SILVERDALE",0.206896551724138,12.3448275862069,138.206896551724,671.551724137931
