"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",3237.85777385159,59512.6623233216,196323.290415194,638761.403710247
"MILLER",5237.77949813134,71155.630005339,227819.895355045,729465.980423563
"CASULA",1842.43593779513,55380.7513693887,185743.707863754,660165.470503054
"CARTWRIGHT",12198.2025082995,95288.0796753965,299665.565473995,1385317.63961638
"HECKENBERG",2297.9619047619,55982.7301587302,149661.98984127,470394.684444444
"SADLEIR",2968.83953630262,61250.8999389872,159777.479255644,525933.0976205
"LURNEA",7317.00010960105,74261.7171196844,214103.293073214,757141.283099518
"ASHCROFT",2118.24027889515,56979.493429874,141037.866988469,451355.729418075
"LIVERPOOL",18812.403403176,89446.4391952,330109.921677739,1398992.04580471
"MOOREBANK",2427.47106524143,43808.1893352992,206004.216857108,1245008.79198919
"WARWICK FARM",11942.6734693878,74208.8014001717,332209.368535764,1182011.47988904
"WATTLE GROVE",1012.14731805591,5388.80622009569,56465.6993200705,209921.322336943
"CHIPPING NORTON",2311.77263397948,50216.5541619156,207308.290307868,1375710.336374
"HOLSWORTHY",1365.81803600071,11759.9278203529,138835.612012119,744253.221529139
"HAMMONDVILLE",1754.9900918318,6417.55050749154,33131.3211696472,188680.876268729
"MOUNT PRITCHARD",1591.38405797101,61062.2173913043,175159.269927536,660906.175724638
"PRESTONS",1719.42505609574,41036.0129394166,155723.682872102,403612.73223635
"VOYAGER POINT",196.593533487298,4455.35623556582,40928.8135103926,559552.092378753
"PLEASURE POINT",265.548561151079,1209.53956834532,12875.131294964,202797.206834532
"WEST HOXTON",2082.44213903743,46012.7277005348,166616.077647059,381672.580427807
"CECIL HILLS",871.953682611997,10674.7424449506,80031.2856492027,309836.481245254
"HOXTON PARK",2894.62046865612,61721.9427198077,199194.154816743,484370.835970359
"HINCHINBROOK",2139.9598274209,48518.7464046021,182838.745349952,533922.280345158
"GREEN VALLEY",2351.21685689201,35882.0728709394,172634.21404741,527605.860316067
"HORNINGSEA PARK",2696.92213005084,29594.0436178753,128026.560877709,291669.524484881
"MIDDLETON GRANGE",3467.28411605606,62513.9000491763,217984.552618638,538308.220432751
"DENHAM COURT",140.513755274262,814.001687763713,5380.2935021097,49680.5456540084
"EDMONDSON PARK",742.715866623127,15445.2990820362,106435.707448931,258473.785675411
"LUDDENHAM",2351.5048951049,6245.81958041958,8939.5972027972,12851.420979021
"CARNES HILL",2218.21729776248,45100.8102409639,157245.103700516,371174.617039587
"ELIZABETH HILLS",1038.58492607285,16885.9004688063,112853.362783988,320751.52722683
"CECIL PARK",323,323,323,323
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",136.547309833024,5700.69944341373,46654.306122449,237441.398886827
"ROSSMORE",3219.97266151771,65568.5958072821,210892.041191615,539745.154958931
"BRINGELLY",2386.43159389421,26457.3405040824,80077.7698260561,234352.679872204
"GREENDALE",108.333333333333,442.083333333333,913.333333333333,1587.66666666667
"BADGERYS CREEK",11505.48,77285.76,184859.92,560793.44
"KEMPS CREEK",5077.92915907806,72873.447779941,238609.245619544,652722.796143943
"WALLACIA",16.0407079646018,206.353982300885,3450.51504424779,18269.4566371681
"AUSTRAL",14118.3997841163,85172.4353162105,250808.565393544,508500.546540685
"SILVERDALE",0.206896551724138,12.3448275862069,138.206896551724,671.551724137931
