"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10476580000,45079,198701,402335,803384,1221001,1857728,2285152,2752343,7722,3779622,4075040,4162785
10476590000,84539,241612,562839,955931,1519697,2058745,2457610,3198381,9427,3998118,4103919,4192157
10476600000,47380,182528,358088,752822,1174427,1813835,2236390,2701515,6603,3650392,4065164,4145683
10476610000,49020,183102,359807,761260,1182218,1827748,2260047,2712499,6353,3659193,4067188,4151358
10476620000,70261,211445,469887,867723,1339257,1954681,2348779,2882770,8203,3870212,4085219,4177865
10476630000,86631,243751,561705,952366,1509229,2046918,2448756,3167325,10318,3993766,4102880,4191612
10476640000,69221,234506,479443,881557,1331791,2105089,2474447,3420671,4694,3995210,4105679,4193608
10476650000,90485,243837,551994,944970,1479459,2044718,2435346,3150913,12393,3999676,4099593,4190209
10476660000,111187,243265,563292,966178,1485807,2109599,2464264,3289469,16481,4013028,4103190,4191541
10476670000,95688,275152,579395,955206,1466284,2183384,2527389,3517886,7844,4024358,4115203,4201076
10476680000,81032,184473,370776,780654,1310011,1878571,2280373,2833797,7221,3853135,4073995,4174023
10476690000,69526,197721,385524,799927,1228524,1925192,2332925,2897036,8405,3869567,4079951,4165914
10476700000,108321,290083,553904,952428,1442211,2189560,2556060,3574342,8338,4024276,4122980,4203105
10476710000,59403,176251,356029,744244,1211412,1820538,2261459,2742382,6456,3745780,4064427,4154326
10476720000,81364,189318,387768,794589,1340421,1902010,2306517,2914705,7653,3878273,4077758,4176772
10476730000,81955,181338,368159,752405,1237240,1870275,2291354,2810710,5960,3782560,4068452,4162326
10476740000,81996,188407,374817,767336,1255403,1890106,2302724,2849486,6699,3811008,4074711,4163516
10476750000,110987,243783,526011,946997,1460293,2127036,2490559,3386476,18387,4012043,4109471,4194529
10476760000,72079,229986,452459,868367,1266508,2061323,2458796,3357925,5300,3967920,4102315,4190440
10476770000,92957,204788,412281,817848,1329506,1969279,2355964,2966528,8423,3912990,4084642,4173549
10476780000,81850,220919,418272,863934,1280582,2064430,2452367,3348911,11377,3975381,4101859,4189767
10476790000,85934,197361,404733,822267,1396506,1963597,2346291,3043905,8301,3938804,4085340,4184489
10476820000,78229,227950,432340,856530,1293360,2079406,2479390,3492478,9183,3966023,4108159,4192790
10476830000,79323,227999,419144,836495,1304681,2073994,2503883,3527160,9526,3976844,4110934,4193912
10476840000,97570,222759,413822,839637,1316278,2092504,2471223,3470941,12681,3964233,4106344,4192451
10476850000,85865,250041,464022,894791,1357891,2137866,2550805,3570862,8844,3996884,4119923,4198495
10476860000,90393,214694,406572,829222,1279409,2068434,2460735,3441879,9161,3952774,4103617,4190482
10476870000,77620,167943,376925,741332,1273798,1901502,2311319,2926911,3443,3840254,4073896,4170784
10476880000,82477,255146,469441,889533,1330391,2115517,2500715,3510634,5560,3984632,4110709,4195749
10476890000,96535,230653,443018,842982,1425562,2089892,2545034,3599202,12209,3984140,4116345,4197153
10476900000,103925,219902,432034,854614,1434124,2026337,2398956,3280493,10612,3956057,4097452,4187141
10476910000,94546,194172,420623,816083,1438446,2015193,2398093,3231368,6137,3968509,4090966,4188252
10476920000,101961,243940,466692,888228,1493702,2166920,2572208,3603630,15412,4001318,4122163,4200186
10476930000,85835,185768,391255,770253,1292265,1902134,2317248,2993717,4581,3858739,4076322,4174331
10476940000,79740,180866,378551,748796,1268432,1883441,2301261,2907605,3742,3831672,4072088,4168142
10476950000,109465,216806,479327,920836,1537357,2093911,2455714,3426675,17544,3999447,4104830,4196003
10476960000,54779,191038,398284,756115,1184148,1940744,2418911,3338786,2299,3925513,4089076,4178189
10476970000,119770,269632,536378,941121,1639760,2223140,2985657,3842912,21491,4029327,4156304,4209403
10476980000,96988,235188,448414,858715,1365913,2100603,2554408,3616442,4405,3987227,4122078,4197923
10476990000,102298,233681,458169,854918,1493384,2118223,2683110,3733392,10659,4003954,4135233,4200274
