"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10476580000,45079,197769,400406,801448,1219065,1855792,2283216,2750407,7722,3777686,4073104,4160849
10476590000,82334,240164,560903,953995,1517761,2056809,2455674,3196445,9427,3996182,4101983,4190221
10476600000,47380,181131,356170,750886,1172491,1811899,2234454,2699579,6603,3648456,4063228,4143747
10476610000,49020,182243,357883,759324,1180282,1825812,2258111,2710563,6353,3657257,4065252,4149422
10476620000,70261,210609,467951,865787,1337321,1952745,2346843,2880834,8203,3868276,4083283,4175929
10476630000,84454,242376,559769,950430,1507293,2044982,2446820,3165389,10318,3991830,4100944,4189676
10476640000,69221,233454,477507,879621,1329855,2103153,2472511,3418735,4694,3993274,4103743,4191672
10476650000,89509,242591,550058,943034,1477523,2042782,2433410,3148977,12393,3997740,4097657,4188273
10476660000,110713,242301,561356,964242,1483871,2107663,2462328,3287533,16481,4011092,4101254,4189605
10476670000,95688,274178,577813,953270,1464348,2181448,2525453,3515950,7844,4022422,4113267,4199140
10476680000,81032,181042,368937,778718,1308075,1876635,2278437,2831861,7221,3851199,4072059,4172087
10476690000,69526,196538,383726,797991,1226588,1923256,2330989,2895100,8405,3867631,4078015,4163978
10476700000,108321,289138,551968,950492,1440275,2187624,2554124,3572406,8338,4022340,4121044,4201169
10476710000,59403,172883,354164,742308,1209476,1818602,2259523,2740446,6456,3743844,4062491,4152390
10476720000,81364,185888,385936,792653,1338485,1900074,2304581,2912769,7653,3876337,4075822,4174836
10476730000,81955,177205,366290,750469,1235304,1868339,2289418,2808774,5960,3780624,4066516,4160390
10476740000,81996,185352,372927,765400,1253467,1888170,2300788,2847550,6699,3809072,4072775,4161580
10476750000,110987,242922,524075,945061,1458357,2125100,2488623,3384540,18387,4010107,4107535,4192593
10476760000,72079,227077,450528,866431,1264572,2059387,2456860,3355989,5300,3965984,4100379,4188504
10476770000,92957,203608,410359,815912,1327570,1967343,2354028,2964592,8423,3911054,4082706,4171613
10476780000,81850,218861,416351,861998,1278646,2062494,2450431,3346975,11377,3973445,4099923,4187831
10476790000,85934,193919,402898,820331,1394570,1961661,2344355,3041969,8301,3936868,4083404,4182553
10476820000,78229,223994,430451,854594,1291424,2077470,2477454,3490542,9183,3964087,4106223,4190854
10476830000,79323,225004,417462,834559,1302745,2072058,2501947,3525224,9526,3974908,4108998,4191976
10476840000,97570,219154,411919,837701,1314342,2090568,2469287,3469005,12681,3962297,4104408,4190515
10476850000,85865,247655,462100,892855,1355955,2135930,2548869,3568926,8844,3994948,4117987,4196559
10476860000,90393,211224,404749,827286,1277473,2066498,2458799,3439943,9161,3950838,4101681,4188546
10476870000,77620,167477,375150,739396,1271862,1899566,2309383,2924975,3443,3838318,4071960,4168848
10476880000,82477,252757,467506,887597,1328455,2113581,2498779,3508698,5560,3982696,4108773,4193813
10476890000,96535,229072,441598,841046,1423626,2087956,2543098,3597266,12209,3982204,4114409,4195217
10476900000,103925,217373,430136,852678,1432188,2024401,2397020,3278557,10612,3954121,4095516,4185205
10476910000,94546,193706,418846,814147,1436510,2013257,2396157,3229432,6137,3966573,4089030,4186316
10476920000,101961,241611,464788,886292,1491766,2164984,2570272,3601694,15412,3999382,4120227,4198250
10476930000,85835,182410,389400,768317,1290329,1900198,2315312,2991781,4581,3856803,4074386,4172395
10476940000,79740,177534,376770,746860,1266496,1881505,2299325,2905669,3742,3829736,4070152,4166206
10476950000,109465,214579,477547,918900,1535421,2091975,2453778,3424739,17544,3997511,4102894,4194067
10476960000,54779,190945,397330,754179,1182212,1938808,2416975,3336850,2299,3923577,4087140,4176253
10476970000,119770,266498,534694,939185,1637824,2221204,2983721,3840976,21491,4027391,4154368,4207467
10476980000,96988,233529,446885,856779,1363977,2098667,2552472,3614506,4405,3985291,4120142,4195987
10476990000,102298,232744,456907,852982,1491448,2116287,2681174,3731456,10659,4002018,4133297,4198338
10477000000,112512,255543,517635,920727,1604342,2203847,2947959,3830163,16109,4022545,4150350,4205299
10477010000,113985,259452,498154,912775,1461726,2174777,2705282,3754829,9889,4016736,4139875,4202388
10477020000,124229,275833,548311,967908,1686281,2258173,3078757,3854471,20241,4033876,4160427,4208931
10477030000,107534,250370,500559,907160,1586413,2190010,2890136,3823503,14912,4019348,4147104,4203933
10477040000,123402,267258,538100,944727,1638920,2227973,2982718,3842042,19412,4028385,4154734,4207629
10477050000,85068,180551,384062,780144,1407612,1933525,2487137,3605430,7710,4011722,4129184,4199499
10477060000,94077,197918,414471,880405,1474111,2000198,2558458,3675263,11906,4029292,4141737,4202075
10477070000,116432,261627,530803,949777,1638303,2238005,2966566,3842512,14981,4030500,4154046,4207103
10477080000,99146,218551,432848,940989,1531513,2041948,2797839,3776500,16581,4044548,4158394,4207858
10477090000,144107,309726,600119,1032292,1776204,2322634,3111066,3882078,22090,4057853,4164651,4212765
10477100000,124236,261500,528414,931585,1671569,2202424,2909995,3829993,52591,4026876,4149956,4204216
10477110000,128794,267853,520910,930548,1643872,2154771,2787976,3798164,55835,4034119,4145846,4202560
10477120000,114433,248767,481454,960997,1569324,2105091,2628733,3712905,47814,4041224,4148804,4203825
10477130000,104039,226970,456207,781976,1475194,2049127,2580986,3669837,49644,3993376,4125251,4196055
10477140000,104059,244283,461440,854061,1487546,2027914,2528327,3550646,51453,4002337,4116755,4196398
10477150000,101742,235531,463990,818385,1493005,2049476,2568404,3641652,49644,3993063,4123917,4195763
10477160000,150641,308732,586535,1059403,1805420,2354834,3313025,3895519,35994,4055864,4171257,4212812
10477180000,147257,302099,577147,1038360,1789901,2326312,3223943,3886392,49169,4050736,4167798,4211201
10477190000,143256,298753,572694,1035136,1780226,2315777,3210221,3882386,50705,4047980,4167156,4211044
10477200000,130841,282044,551616,976547,1718809,2278451,3141256,3866242,30968,4040770,4163335,4209589
10477210000,131066,281534,548915,977281,1720224,2279431,3167389,3867278,30842,4040837,4163661,4209579
10477220000,99821,203221,413891,827421,1407546,1921353,2584502,3675915,37763,4010456,4139281,4199694
10477230000,102457,217524,441140,860701,1432814,1945861,2691475,3732083,40255,4020278,4146204,4202863
10477240000,100952,205228,424597,838574,1416939,1930305,2637839,3707172,38371,4014738,4143726,4201518
10477250000,119180,275228,510183,966957,1707165,2255904,3305701,3874404,16776,4040699,4164941,4209975
10477260000,42928,189121,381466,679042,1297796,1987478,2627112,3696677,2747,3979923,4113825,4193675
10477270000,25619,157404,321183,601756,1125270,1820499,2392663,3429576,2266,3930059,4066411,4183107
10477290000,88775,208686,390636,709906,1337351,1965711,2468571,3478171,10824,3950808,4088520,4186959
10477300000,107559,241947,452896,865129,1551734,2076969,2728161,3765432,18693,3997070,4128976,4197752
10477310000,96269,238697,469422,862511,1581251,2121860,3031815,3824713,9617,4014075,4146123,4204299
10477320000,102215,234788,437984,814057,1516721,2060686,2693930,3739346,17504,3992056,4125458,4196580
10477330000,94195,221169,414425,745822,1457364,2013711,2594093,3656317,14258,3976709,4109762,4192980
10477340000,64399,216900,434817,824089,1478421,2085362,2862625,3805893,5545,4006126,4138327,4201297
10477350000,98504,250716,482915,912201,1595031,2180522,3071080,3841061,8475,4022403,4153097,4206261
10477360000,32780,176914,360539,649972,1241690,1912876,2496020,3578640,3446,3954606,4085984,4189496
10477370000,39021,186674,378007,682772,1289005,1969484,2588543,3652944,4021,3971035,4106448,4192320
10477390000,108427,269584,505130,951234,1659647,2227757,3149822,3857286,14171,4034046,4159863,4207967
10477400000,92010,223124,421842,751827,1494404,2033927,2705624,3748898,8732,3984970,4119843,4195511
10477410000,86031,221504,421225,750163,1496389,2039196,2725368,3753611,8282,3985721,4120763,4195791
10477420000,98054,227999,430312,785332,1501056,2035188,2647760,3710159,15517,3986441,4119056,4194698
10477430000,30602,172738,350346,642468,1214251,1894406,2462077,3532115,3714,3947047,4076675,4187981
10477440000,107906,268819,501187,949225,1678965,2188788,3075619,3842352,12787,4025338,4153712,4206589
10477450000,105634,243197,448905,838134,1563901,2081831,2823383,3787928,17801,4001117,4133973,4199570
10477460000,105695,266169,499594,943364,1680097,2192322,3077252,3843692,12781,4025585,4155517,4206721
10477470000,80924,227044,454014,843320,1503817,2104061,2927094,3813464,5091,4011471,4141287,4202558
10477480000,77284,181951,350161,693922,1226932,1807215,2300819,3502219,8197,3930777,4094033,4187569
10477490000,62134,149738,337291,695448,1150188,1672081,2540073,3641076,2221,3961912,4126681,4193159
10477500000,64998,158738,326056,641909,1117089,1722350,2223110,3364107,4324,3895858,4070626,4175416
10477510000,64414,220150,437569,829514,1487448,2088231,2862528,3805736,4859,4006095,4138099,4201276
10477520000,49544,198082,399879,725311,1352458,2016168,2670184,3730484,3292,3986127,4119208,4196030
10477530000,85672,202682,374889,696611,1400369,1934331,2573610,3694273,9512,3966837,4110854,4192523
10477540000,42089,188538,387236,699177,1313912,1989840,2620718,3692314,2880,3979024,4113904,4193525
10477560000,60792,160467,319749,602173,1086027,1719989,2212115,3301092,4935,3872825,4059095,4169192
10477570000,95969,234904,428148,801703,1545713,2037174,2882488,3800638,10117,3999734,4134139,4200278
10477580000,76165,184808,352816,680640,1211628,1812083,2297764,3455602,8278,3926210,4083203,4183295
10477590000,36759,177361,367835,666743,1267549,1932053,2527038,3607280,2673,3963709,4090609,4190710
10477600000,86938,195679,375131,708156,1325238,1883061,2408316,3575372,9920,3944576,4096633,4188977
10477610000,89914,198706,376501,720825,1374055,1917692,2482616,3617208,8310,3957084,4102807,4191001
10477620000,89918,198738,376535,721074,1374005,1917851,2483098,3617301,8310,3957061,4102836,4191008
10477630000,101202,226082,418974,791531,1526002,2013201,2866053,3797614,10202,3992124,4132964,4199965
10477640000,10294,100397,222555,568113,927223,1365267,2137295,3424204,474,3877590,4083239,4176523
10477650000,110656,252987,449356,848568,1591343,2076650,2997045,3818943,12095,4008980,4145475,4203324
10477660000,69361,182793,354907,649210,1270631,1836232,2431050,3613948,6856,3946899,4095652,4188431
10477670000,34154,136971,340531,719813,1094023,1582639,2727166,3650859,2300,3971010,4130782,4191242
10477680000,54391,208308,428635,821392,1322504,1885724,2294581,2827418,8524,3843834,4077679,4173406
10477690000,50034,210280,454661,846418,1315150,1920575,2326578,2837073,9607,3839598,4079512,4172985
10477700000,61956,228112,509396,901652,1403216,1987035,2370309,2970078,11926,3923686,4088536,4183247
10477710000,52752,208325,454529,854373,1321856,1935366,2334400,2856885,9732,3855614,4081324,4174518
10477720000,75149,238643,570454,959258,1545572,2068232,2480025,3245144,10741,4009834,4104605,4191605
10477730000,81679,245884,585057,976746,1584965,2097402,2510209,3307775,11725,4022082,4110316,4194174
10477740000,80561,218310,412903,859063,1275715,2056500,2446657,3339574,11457,3971702,4099390,4186701
10477750000,70218,217117,425127,850040,1258180,2051475,2453396,3351351,9399,3960760,4099988,4186394
10477760000,51460,195527,390057,793357,1260339,1851707,2274368,2754699,7200,3784246,4070267,4159294
10477780000,53110,191712,375653,786520,1263979,1848252,2264381,2769168,6830,3779241,4069624,4160609
10477800000,76773,189028,368561,779169,1323173,1875420,2267790,2898306,6660,3854581,4072720,4175435
10477810000,87027,202164,420690,818624,1392873,1922123,2323131,3005110,8701,3932844,4082468,4182827
10477820000,45713,192032,385268,791139,1208342,1840743,2270364,2730906,7574,3720463,4068718,4156026
10477830000,49691,191227,378182,786207,1208286,1838774,2268315,2739155,6922,3759444,4068551,4154739
10477840000,49528,188000,372310,783767,1205715,1835244,2260611,2736302,6988,3753821,4067986,4154022
10477850000,56162,189786,356162,763235,1275454,1831122,2228989,2782204,6645,3798582,4067951,4167198
10477860000,77450,187151,363990,685292,1301860,1857438,2453462,3626618,7233,3951608,4102687,4189498
10477870000,51524,173952,341615,620785,1199082,1806488,2351213,3553287,6068,3931943,4083380,4184873
10477880000,70620,183544,357515,651287,1285971,1844352,2447030,3621360,6896,3949292,4098106,4188811
10477890000,112423,265815,487799,915450,1630832,2133664,3036249,3831477,18921,4016239,4149639,4204572
10477920000,83944,173015,350734,713372,1291695,1797880,2394047,3537336,15426,3967093,4113404,4193570
10477940000,100175,205162,420410,832839,1421305,1942246,2523939,3651077,39212,4011458,4136105,4199228
10477950000,101993,217852,432543,860725,1442286,1959931,2535489,3653338,40647,4017189,4136091,4200137
10477960000,100005,205064,420333,833126,1420951,1941965,2519674,3649601,39211,4011233,4135571,4199349
10477970000,102672,219982,433866,889656,1448407,1963457,2539889,3663792,41309,4018616,4137722,4200629
10477980000,100871,208103,420282,834303,1424279,1944160,2532582,3658367,38797,4013818,4137572,4199363
10477990000,104731,233240,444044,875566,1494139,2007738,2563964,3656280,47301,4025450,4136085,4201202
10478010000,100552,217530,430836,862300,1445907,1959728,2531000,3638864,42093,4015139,4134102,4199608
10478020000,104836,222205,443613,913992,1474858,1980146,2572395,3690458,43544,4023461,4141172,4201297
10478030000,97574,208049,419684,826505,1425990,1944846,2509854,3620757,40617,4009572,4130909,4199019
10478060000,116573,255070,483559,955140,1589298,2148405,2572346,3666885,49037,4032361,4134685,4202786
