"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",194129.613957597,1248055.87809187,2805346.51678445,4161956.87941696
"MILLER",226648.575903186,1444879.48247019,3081859.09040755,4184379.18384054
"CASULA",250574.582194799,1427166.99099666,3592277.73027766,4196848.91254801
"CARTWRIGHT",237708.658428624,1451594.07266691,3319739.08336407,4189601.37255625
"HECKENBERG",179973.501587302,1298424.08063492,2874133.03365079,4168558.89460317
"SADLEIR",184903.377974375,1232032.01860891,2842682.68669921,4157799.33465528
"LURNEA",233363.387987725,1404474.95133713,3561264.79811486,4194738.02213941
"ASHCROFT",197073.42826495,1405569.92330383,3190711.85304371,4181853.82783588
"LIVERPOOL",246824.335812844,1575797.7761437,3699766.84136808,4201223.55433157
"MOOREBANK",244974.267723308,1588775.66023672,3800040.86550354,4201802.88868411
"WARWICK FARM",205920.360147943,1411790.29357374,3638972.74347797,4198952.65425005
"WATTLE GROVE",201453.332535885,1364627.87559809,3680484.718207,4195115.72664316
"CHIPPING NORTON",202629.989281642,1349469.36419612,3594025.63671608,4189074.08107184
"HOLSWORTHY",169135.17020139,1205358.31046159,3438011.22527179,4169619.86829442
"HAMMONDVILLE",215488.941034316,1430210.95915901,3722929.86901885,4198160.29362011
"MOUNT PRITCHARD",200923.653985507,1495975.48731884,3401289.5326087,4191920.34782609
"PRESTONS",227702.863500374,1379094.53238594,3277223.36095737,4185550.89087509
"VOYAGER POINT",183553.026558891,1394258.18764434,3763218.41224018,4193962.99249423
"PLEASURE POINT",125979.496402878,1032710.54136691,3320556.5647482,4159951.73381295
"WEST HOXTON",212477.15315508,1462353.56331551,3106190.01379679,4187072.58128342
"CECIL HILLS",244375.649050873,1674474.29855733,3637847.80470767,4208435.66241458
"HOXTON PARK",256743.814940917,1607161.3789305,3361421.61766473,4196932.35189265
"HINCHINBROOK",224381.160115053,1502816.53767977,3190698.73624161,4189355.01725791
"GREEN VALLEY",198335.230553117,1383414.18261633,2979152.90079017,4177979.19604917
"HORNINGSEA PARK",182519.974578539,1267795.91249666,2842925.17741504,4168686.28472036
"MIDDLETON GRANGE",255712.84927465,1622683.76715023,3406275.76407671,4200071.97098598
"DENHAM COURT",108341.36556962,839942.476962025,2381893.92168776,4085924.54025316
"EDMONDSON PARK",219542.734117049,1251339.5733464,3008446.32099706,4170529.28003338
"LUDDENHAM",142747.434965035,775088.233566434,2103404.29370629,4047410.86993007
"CARNES HILL",204774.761187608,1421992.34337349,3049695.55378657,4183909.04302926
"ELIZABETH HILLS",266238.186080058,1688035.5712225,3601668.33898305,4206798.78254598
"CECIL PARK",250137,1598159,3595157,4207474
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",178312.886827458,1037130.26345083,2563862.71243043,4117033.16697588
"BRINGELLY",151172.184664537,761352.835924743,1961647.94014909,3847119.18338658
"GREENDALE",29533.6666666667,397205.583333333,1298139.75,2820792.66666667
"BADGERYS CREEK",195662.524390244,1168814.87804878,2590685.92682927,4145541.20731707
"KEMPS CREEK",222704.574384686,1336015.70984503,2875220.29680948,4177631.82096627
"WALLACIA",45068.6017699115,514810.302654867,1742401.63893805,3738845.28141593
"AUSTRAL",217277.745849336,1310939.22793909,2812642.46907363,4172907.45974864
"ROSSMORE",196229.64977951,1138796.18787817,2572099.42918675,4140685.09968208
"SILVERDALE",4525.51724137931,288511.206896552,1131561.75862069,2452653.82758621
