"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",194406.21709364,1249129.87809187,2806420.51678445,4163030.87941696
"MILLER",227472.532835024,1445953.48247019,3082933.09040755,4185453.18384054
"CASULA",251029.187244223,1428240.99099666,3593351.73027766,4197922.91254801
"CARTWRIGHT",238250.082626337,1452668.07266691,3320813.08336407,4190675.37255625
"HECKENBERG",180424.540634921,1299498.08063492,2875207.03365079,4169632.89460317
"SADLEIR",185328.073520439,1233106.01860891,2843756.68669921,4158873.33465528
"LURNEA",233736.032222709,1405548.95133713,3562338.79811486,4195812.02213941
"ASHCROFT",197478.706891928,1406643.92330383,3191785.85304371,4182927.82783588
"LIVERPOOL",246996.104536937,1576871.7761437,3700840.84136808,4202297.55433157
"MOOREBANK",245044.50972683,1589849.66023672,3801114.86550354,4202876.88868411
"WARWICK FARM",205920.360147943,1412864.29357374,3640046.74347797,4200026.65425005
"WATTLE GROVE",201496.365273231,1365701.87559809,3681558.718207,4196189.72664316
"CHIPPING NORTON",202630.66613455,1350543.36419612,3595099.63671608,4190148.08107184
"HOLSWORTHY",169146.930850116,1206385.64124042,3439085.22527179,4170693.86829442
"HAMMONDVILLE",215542.407684872,1431284.95915901,3724003.86901885,4199234.29362011
"MOUNT PRITCHARD",200994.842391304,1497049.48731884,3402363.5326087,4192994.34782609
"PRESTONS",228277.368362004,1380168.53238594,3278297.36095737,4186624.89087509
"VOYAGER POINT",183553.026558891,1395332.18764434,3764292.41224018,4195036.99249423
"PLEASURE POINT",125979.496402878,1033784.54136691,3321630.5647482,4161025.73381295
"WEST HOXTON",213516.269304813,1463427.56331551,3107264.01379679,4188146.58128342
"CECIL HILLS",245434.944722855,1675548.29855733,3638921.80470767,4209509.66241458
"HOXTON PARK",257816.261165632,1608235.3789305,3362495.61766473,4198006.35189265
"HINCHINBROOK",225263.590795781,1503890.53767977,3191772.73624161,4190429.01725791
"GREEN VALLEY",198986.489201054,1384488.18261633,2980226.90079017,4179053.19604917
"HORNINGSEA PARK",183441.595664972,1268869.91249666,2843999.17741504,4169760.28472036
"MIDDLETON GRANGE",256786.84927465,1623757.76715023,3407349.76407671,4201145.97098598
"DENHAM COURT",108478.63257384,841016.476962025,2382967.92168776,4086998.54025316
"EDMONDSON PARK",220254.946446065,1252413.5733464,3009520.32099706,4171603.28003338
"LUDDENHAM",143407.064335664,776162.233566434,2104478.29370629,4048484.86993007
"CARNES HILL",205822.296041308,1423066.34337349,3050769.55378657,4184983.04302926
"ELIZABETH HILLS",267310.98665705,1689109.5712225,3602742.33898305,4207872.78254598
"CECIL PARK",251211,1599233,3596231,4208548
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",179194.3283859,1038204.26345083,2564936.71243043,4118107.16697588
"BRINGELLY",152160.733759318,762426.835924743,1962721.94014909,3848193.18338658
"GREENDALE",29533.6666666667,398278.583333333,1299213.75,2821866.66666667
"BADGERYS CREEK",200771.231638418,1228898.98870056,2682194.29943503,4161586.60451977
"KEMPS CREEK",225338.524346014,1340531.04213288,2882040.62581989,4179013.97353191
"WALLACIA",45072.9681415929,515884.302654867,1743475.63893805,3739919.28141593
"AUSTRAL",220796.870701213,1322930.07235058,2827836.55158545,4175094.88629065
"ROSSMORE",199550.401035673,1149607.6859417,2583724.16877637,4143892.70914845
"SILVERDALE",4525.51724137931,289663.103448276,1132635.75862069,2453727.82758621
