"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21961,55194,118774,166104,238079,24,407021,576599,754789
10476590000,1371,7087,12969,24607,56449,111921,164088,229188,153,318029,481799,616038
10476600000,590,3700,10427,27325,49116,94316,136086,183138,32,252792,360513,553663
10476610000,422,3038,9018,26954,49323,83449,124829,165871,51,232309,342130,528935
10476620000,1704,5303,12914,44496,65180,98444,149488,218741,29,321365,481149,723815
10476630000,1308,5877,11673,21164,43135,104801,159026,212490,66,303015,428813,610607
10476640000,245,471,2303,8202,52859,65833,94062,134239,27,191609,258286,355379
10476650000,265,648,6672,49940,74741,110765,158176,235738,50,348266,522069,709424
10476660000,138,3161,10344,49502,66961,92199,145957,218104,39,314073,442487,822219
10476670000,365,2509,5429,45619,62995,81597,122211,194145,61,279139,389353,643127
10476680000,692,2707,11667,28968,63139,81768,105701,156580,56,235974,347612,486281
10476690000,1001,4347,10226,35706,64555,80523,130012,189499,185,273819,386434,601133
10476700000,654,2887,10631,33754,65924,88052,136138,207813,29,317071,411719,737413
10476710000,719,3423,6373,23055,61811,73637,96217,135030,24,191164,276265,393684
10476720000,951,2776,10736,48352,70604,90189,121013,168900,32,281734,452058,640987
10476730000,793,3241,7448,27504,58231,67372,89224,125277,85,183427,261934,422135
10476740000,507,1722,6156,31187,59834,79765,121621,169523,92,233955,342507,508900
10476750000,2329,9169,51990,63491,84967,136186,194102,287419,45,417088,963824,1644352
10476760000,519,1958,7049,43682,60912,77928,125203,183581,220,250934,333814,605786
10476770000,538,2417,8495,50880,62908,84184,129936,191057,61,270564,394355,628929
10476780000,1571,6324,15827,43628,70835,103777,142473,190716,21,260817,358834,499140
10476790000,496,1981,5764,30446,60594,82593,112568,146607,59,222481,360338,545603
10476820000,555,2447,6881,23304,56552,80153,121276,162306,34,224135,316772,446657
10476830000,707,3265,6672,24039,58927,78884,116103,166866,36,228648,321335,448694
10476840000,1993,5854,19629,57621,74983,106752,140915,186171,34,267437,368930,487929
10476850000,367,890,2699,8552,37685,86577,128503,176830,52,250982,339829,469847
10476860000,463,3074,6744,27674,59738,79746,113888,160132,13,222139,313929,430408
10476870000,605,1651,5321,38443,56483,65975,87462,122683,35,180408,275047,434130
10476880000,343,808,1728,6662,39267,57577,76900,108934,122,167749,231713,312298
10476890000,494,1588,4279,12103,38771,69955,99413,136268,115,197356,272864,361615
10476900000,629,2236,9578,45601,58785,69918,106289,154726,16,209629,309860,465212
10476910000,635,2260,4807,20534,56126,68238,89494,118686,116,168622,252567,405301
10476920000,527,3443,36611,60181,89218,127300,193154,273177,23,413748,584595,1150312
10476930000,462,1545,4562,25574,57433,67265,98067,146336,29,204532,292260,454944
10476940000,363,991,3675,36395,56339,64574,90397,134014,116,194379,279701,443268
10476950000,515,1250,12165,40316,56669,65292,85001,123918,102,175169,252315,390696
10476960000,178,493,1431,4203,46957,58573,88601,128408,52,208745,296986,403256
10476970000,350,1110,12760,46963,60766,76432,106690,167438,20,235817,321643,587468
10476980000,345,1137,10521,44800,63634,97388,152654,226289,24,369729,534816,817284
10476990000,742,1747,9604,44119,59818,77903,111344,173161,174,236395,321410,563653
10477000000,418,1961,10626,49048,62804,77688,118066,180168,75,254655,339862,600599
10477010000,1103,3595,14723,51772,79508,111818,185495,320414,16,478104,696046,1313335
10477020000,324,2049,9260,49766,69224,96180,125235,174000,30,245758,349277,607965
10477030000,393,2231,9769,50156,67645,95154,127517,184541,59,254667,367964,626461
10477040000,497,1905,10706,49848,63405,82311,117422,183092,30,252482,346560,625440
10477050000,429,6954,33439,45236,55988,78226,119778,192305,177,326230,494226,876462
10477060000,616,2649,29533,42803,58481,83961,131660,201777,64,339539,525954,927633
10477070000,415,2367,10322,33298,62926,91284,141046,222413,56,355885,519804,837015
10477080000,613,845,2876,35554,52578,72566,107561,168081,36,276987,421127,631814
10477090000,211,1274,10824,46742,59924,75551,109869,166846,0,233768,321790,573662
10477100000,1675,4230,14270,42580,60709,89388,134782,210108,75,365920,557884,969580
10477110000,11533,25344,48188,70190,105419,155703,260054,425374,540,628830,1028399,1750599
10477120000,10084,24904,51227,67636,99833,153656,215508,315611,348,526166,1185754,1582130
10477130000,18002,51714,73324,106636,153363,223036,329279,539541,49,1094249,1703056,2229755
10477140000,26752,39474,54673,78835,112948,168690,276400,446005,377,644618,1241031,1827674
10477150000,23390,43776,62016,91897,140736,212469,307856,518401,230,967650,1617639,2152821
10477160000,2379,5751,37474,48678,71239,90758,140393,214547,61,359937,571882,1186544
10477180000,2307,10502,35957,58790,80188,120301,188026,286312,29,467786,959301,1533551
10477190000,2725,15220,30507,58749,78064,105909,159163,261111,2155,443804,673491,1203814
10477200000,2953,3602,13549,24978,55452,71953,116392,189718,29,324114,618666,1225151
10477210000,1025,6770,29702,46567,63412,89324,139214,223603,25,380504,856230,1416674
10477220000,1419,20597,38973,62344,99444,167998,254047,440177,4,657247,1270033,1868035
10477230000,1439,7352,38768,63592,108217,177386,282468,466330,48,760066,1406698,1977962
10477240000,1321,25816,42179,72451,123125,198338,308907,511613,82,901611,1612751,2146806
10477250000,1302,4646,22868,50614,62461,98358,146263,224375,513,378906,773539,1425522
10477260000,287,686,1132,1943,4010,7351,14709,50172,98,65495,89155,144999
10477270000,12,333,1009,2134,3922,7493,15429,53389,4,72747,128452,199182
10477290000,322,1478,3749,22645,65044,107407,152739,221626,111,420447,1031849,1569933
10477300000,560,4089,11583,51600,82460,123968,173839,265756,96,763373,1363551,1761006
10477310000,715,2048,6508,9463,45554,87818,118639,190343,10,668647,1250457,1622024
10477320000,585,2332,6324,45502,71099,119124,167480,262058,180,757879,1358713,1773474
10477330000,477,2028,26845,47166,72649,120082,174680,268711,36,462446,1105628,1684233
10477340000,467,1439,3596,4420,7228,11374,23224,62837,153,94046,162083,263834
10477350000,374,1616,3614,4940,7168,13095,21201,55517,35,83632,128322,199472
10477360000,575,1291,2670,4628,6667,15187,31540,91486,25,171193,289159,514759
10477370000,559,1154,2378,4297,7066,15134,29310,87314,0,167469,285454,509271
10477390000,505,1564,2788,4835,9930,13904,23712,57257,213,74424,107812,163731
10477400000,765,1835,6467,17102,75906,114768,168456,267870,91,654938,1327165,1874851
10477410000,421,1337,4230,11875,44430,86620,136601,197382,146,309430,878078,1500744
10477420000,623,2360,11442,52509,88200,137260,215849,376860,328,990414,1607352,2100277
10477430000,362,1004,2034,3789,6460,15609,36105,94956,204,170082,290143,512792
10477440000,261,1239,3546,6035,15794,45460,83912,125733,14,190504,320242,938396
10477450000,703,2622,12190,50684,75802,124099,175803,279841,106,802917,1396221,1815629
10477460000,268,1081,3393,5501,11947,20878,70800,118321,20,179219,278410,641138
10477470000,927,1802,3163,4503,6958,13247,15078,28317,89,77769,125721,192093
10477480000,105,831,2608,13256,51314,84689,117112,175680,14,271250,780165,1418761
10477490000,286,938,3314,35986,51855,67189,91285,118875,18,169995,243884,381258
10477500000,159,839,2533,11762,32147,79508,124621,186188,15,281130,755699,1403633
10477510000,1000,2242,3204,4481,5848,9706,15858,42387,277,83563,152201,231616
10477520000,1000,2337,3248,4198,5566,8704,14324,21094,188,74975,122901,189513
10477530000,1309,3527,11425,30164,77691,103020,152116,240928,26,612011,1248769,1704702
10477540000,1623,2390,3039,4026,5641,8940,14595,19119,89,75856,123058,188800
10477560000,358,1101,3303,15062,50657,82655,123245,187355,48,283717,800225,1429046
10477570000,282,1225,3768,12654,52812,87340,129075,188951,58,474657,1030943,1474597
10477580000,778,1864,4675,17966,49078,85376,124880,187012,32,283936,798572,1433574
10477590000,1359,1632,2234,2905,4339,6858,9080,18716,335,72620,115780,174351
10477600000,347,1259,4010,13682,49834,82039,121656,178599,37,268764,752001,1377172
10477610000,1329,3932,5745,17211,50811,83165,123085,184678,52,280140,749623,1364238
10477620000,326,2401,4852,9742,42214,74516,113915,167753,27,250172,474135,1125940
10477630000,645,2488,7642,23616,68410,105317,154122,239464,41,765230,1328225,1711282
10477640000,162,1818,4763,35908,51643,67546,90396,116998,0,172586,245595,375949
10477650000,1005,5264,13125,54395,84868,124040,188228,299689,25,789272,1402126,1846764
10477660000,729,1451,3577,6550,9086,18049,70283,110151,21,158718,241863,549602
10477670000,158,787,813,2078,2914,3290,4712,7648,0,14396,30203,81307
10477680000,760,2759,9084,19819,51667,111835,150102,219305,75,331797,512287,657748
10477690000,860,3111,11480,28422,72648,131382,180873,262262,21,440224,569862,752391
10477700000,647,3194,10121,28159,82909,124918,171366,246200,29,386142,584140,755861
10477710000,1067,4131,11330,30974,86819,127670,169241,245688,0,393399,597712,755316
10477720000,1299,3510,9112,18672,45655,105228,147675,209481,66,297625,455249,616198
10477730000,1551,5561,11275,22382,70997,121210,164059,226847,58,325515,485188,623123
10477740000,1670,8284,18225,44915,72642,105681,140361,195473,122,256478,360337,483964
10477750000,915,6343,11576,34452,67486,97239,143464,196933,28,271262,376351,525160
10477760000,426,2521,9383,21914,46849,100525,153967,227968,41,360952,535282,706630
10477780000,420,1852,6589,14591,31133,95447,142978,185342,35,298066,457128,605291
10477800000,393,1624,5145,20314,56805,84680,122363,161194,109,218135,324083,498531
10477810000,466,2100,5783,21898,58106,80854,110761,147639,77,213845,306133,461318
10477820000,713,2013,7644,20823,49190,115627,159461,230672,53,367800,552958,722095
10477830000,945,2342,8643,20163,46556,113564,154524,228045,29,361353,543049,686041
10477840000,590,2267,6715,14566,40710,89244,131589,167329,29,225173,374959,565872
10477850000,576,1574,4596,14031,28854,82362,128490,166537,56,224600,403410,565946
10477860000,801,1091,3878,7151,10649,35212,86983,134114,27,201513,312126,818390
10477870000,761,1010,3361,6756,9235,44176,90141,134003,74,201458,316333,838465
10477880000,70,336,2030,2359,4499,6152,8558,16085,69,61805,101020,159022
10477890000,943,3145,14078,44931,73394,108949,166616,257675,139,468890,1026757,1610603
10477920000,184,466,4026,26813,55252,78442,137838,278517,14,428393,595410,812210
10477940000,2113,20090,39031,58210,80246,124378,201136,370055,15,537060,727286,965699
10477950000,3231,29320,41773,58618,79675,121500,193494,360649,280,518228,723235,1264453
10477960000,16634,26200,41391,58335,85056,126985,209915,371072,43,568639,746340,1099315
10477970000,3469,25337,39525,58241,82446,128739,209746,385276,24,546879,758226,1252209
10477980000,2723,21762,37893,58797,84269,131232,208324,371215,9,567429,737741,1041830
10477990000,7556,31784,45514,62169,87239,124421,191898,323142,75,467041,708743,1350233
10478010000,3803,29452,42544,60093,83378,131415,201448,371794,570,538781,714761,1261905
10478020000,2126,4160,35612,56277,83209,126343,191788,369527,3,539895,739085,983977
10478030000,3200,28591,43285,62579,82768,128096,207651,382520,649,539788,761138,1292283
10478060000,5667,26294,41923,57459,88549,136844,201598,294491,101,477781,1080664,1672428
10478070000,730,26423,29363,56162,84276,119738,179257,270073,7,423459,934778,1552474
10478100000,8718,32853,48368,65784,95423,142413,225350,387554,827,564343,842938,1528540
10478110000,7711,31048,46714,59685,87225,124312,187487,331726,51,476847,699622,1367983
10478120000,3724,30228,45756,60413,82665,127265,203084,366639,194,518814,741263,1357532
10478130000,3652,29507,42437,59659,80066,118395,192311,366333,56,520002,729808,1273650
10478140000,9290,25432,53319,71507,101181,160985,234805,332733,32,545619,1209352,1609858
10478150000,9059,22585,48718,61850,89847,133099,186159,280737,44,453469,994443,1242664
10478160000,9120,22780,48488,62880,90741,135590,191604,292339,371,460339,1013794,1277958
10478170000,13100,28911,54519,74339,111274,154130,227665,372320,60,575845,877536,1569324
10478190000,16711,28749,54452,75756,112427,156451,235500,383808,11,583133,872357,1598070
10478200000,17423,42941,55566,79893,127043,184548,263930,422278,796,1028206,1305406,1829519
10478210000,9310,24478,53044,70026,94996,149386,211893,307824,374,477400,1084797,1391575
10478220000,6703,18858,31327,66853,95386,134656,208481,346582,0,494557,703979,1377020
10478230000,6969,20869,31374,62280,96597,134264,204854,344464,452,483444,706513,1384995
10478240000,5276,14367,31150,63004,92222,132974,204126,307754,5,471659,685902,1296699
10478250000,1225,10800,27567,51565,75099,116927,171512,252448,8,424333,625501,1000538
10478260000,1909,12318,28247,53421,81301,124347,182923,281333,9,452463,692235,1126453
10478270000,18102,23157,51316,89612,140374,209583,300596,647811,3,1344573,1809428,2224090
10478280000,1558,13023,25887,48921,72156,108864,161500,246770,6,408805,610134,993821
10478290000,3043,26316,41177,58763,82130,127105,197771,371368,11,549688,746700,1218636
10478300000,2868,26440,39867,57138,84443,127702,209356,378775,353,566655,745980,1136420
10478310000,6947,19265,32193,63489,94357,137187,212652,349846,85,512616,710762,1393227
10478320000,6830,20964,31817,62405,93647,132255,201802,340917,201,497615,697887,1382798
10478330000,6695,17340,30538,57408,87835,127434,202645,332028,26,478836,681163,1317922
10478340000,6861,23107,32433,61423,93624,137029,212923,355533,1210,531459,759460,1404408
10478350000,6854,21018,32173,62890,94581,136818,205099,351454,1261,517140,724710,1391906
10478360000,3350,14207,38668,61370,88196,145719,234327,406744,31,576959,1102774,1705889
10478380000,8156,34151,54023,80431,122216,189121,291090,474650,2260,802991,1469401,2045994
10478400000,665,2007,8746,20675,51449,75843,114885,174463,1,310812,475747,721901
10478410000,1410,4120,14213,40093,66257,93495,149767,235657,355,387565,592436,1157024
10478420000,797,3888,12062,37884,58695,84714,131215,215332,262,372969,581987,1081639
10478430000,3801,8683,19689,50384,76872,117145,191580,356600,173,525524,809666,1475500
10478440000,3362,11226,33333,54797,78947,129069,211665,379123,342,546779,854896,1557592
10478450000,7556,20232,52886,78398,119060,182428,294859,468788,936,771713,1419251,2006834
10478460000,628,14275,39973,64827,100100,158937,250768,430046,69,611808,1226295,1816318
10478480000,4777,14188,40920,63060,96976,151659,244087,417292,130,593890,1137225,1740147
10478490000,4879,11895,27065,55325,78104,119986,190235,350339,255,520981,796743,1461275
10478500000,4822,14208,40350,59910,88787,141856,228772,400143,9,566249,1040427,1663504
10478510000,2078,11462,33538,50410,70315,106583,176618,305202,405,469007,664309,1314288
10478520000,6702,15316,41639,61683,90955,147456,240861,407899,147,582016,1114815,1679374
10478540000,6342,15232,40728,61119,90422,144462,224353,403399,126,569901,1054145,1655740
10478550000,6315,15665,41426,62174,90330,144400,229597,402206,464,574221,1066251,1658685
10478560000,776,2050,3725,47177,60117,78373,119496,179110,202,243634,339143,677178
10478610000,779,2183,7364,41834,63601,86217,133939,193367,290,264341,361532,631254
10478620000,743,4981,12789,34806,73285,99560,146421,216622,55,299020,442138,715240
10478630000,2669,8219,19971,60356,85767,119599,175168,251179,88,376663,613909,1110964
10478660000,308,1152,4691,13928,41418,80463,109241,155181,29,225707,312562,461793
10478670000,297,970,2877,8002,15719,29917,60401,123689,29,165037,227530,358960
10478680000,400,1633,6616,24038,64248,96716,121901,169265,29,269679,427630,586035
10478690000,524,1820,6031,29108,64631,95900,120442,170504,61,262700,470760,610457
10478700000,654,2163,7900,31070,75399,108469,144174,202613,27,320440,499352,656071
10478710000,595,1793,7026,24608,77133,99309,135373,194023,34,305359,488659,639434
10478720000,724,2348,5512,20965,57803,74428,102766,144465,32,205680,294262,431468
10478730000,629,2691,6640,22577,58445,76796,111461,148524,109,210396,302579,471653
10478740000,678,2715,8327,23744,61421,78221,115381,154554,21,213337,311845,476745
10478750000,670,3208,6154,15061,52724,68835,90628,131410,104,186902,267684,386496
10478760000,808,2190,5782,23630,60312,74307,100582,131132,114,183475,265979,383381
10478770000,803,2970,8266,44014,69621,86158,114216,157530,50,244313,374664,576583
10478780000,931,3365,20190,52334,65539,92506,124781,176316,37,262039,407308,658918
10478790000,437,2403,18691,51101,62840,81480,115750,165471,36,234003,338860,629174
10478800000,373,1315,3130,16674,46228,61065,78386,107473,122,141795,207387,351096
10478810000,808,1887,4740,16033,48617,62154,82108,112493,55,147481,219254,352384
10478820000,635,2348,3926,11061,34057,63376,79142,97364,82,149441,222367,309548
10478830000,731,2224,7011,22400,61286,78139,98651,133594,50,187801,286179,450622
10478840000,356,1934,14404,49291,63669,91992,128571,185996,36,302688,465626,668170
10478850000,3215,9380,23613,59631,86878,126935,192089,257211,45,378577,617869,1158912
10478860000,671,4563,11704,43937,63977,90118,133394,181669,113,247079,354679,521251
10478870000,1035,4670,11723,43265,68855,97385,136946,209601,234,299939,491947,677556
10478880000,474,3444,9353,41975,49241,82841,119772,168044,127,233755,333370,514142
10478890000,779,3936,10018,44595,66413,86193,116236,164192,21,248385,355532,518321
10478900000,435,1658,4813,12774,24824,68178,111561,159261,35,218585,308782,507353
10478910000,771,3036,7276,15898,49331,92673,137681,178165,53,244309,389213,606831
10478920000,742,2655,6653,14403,36702,74277,102945,142349,97,196724,273664,425135
10478930000,963,3469,10246,28362,57910,81582,126407,186891,24,253040,366536,538005
10478940000,680,3038,7760,16040,43662,79031,111817,157089,76,218278,315775,487020
10478950000,1369,4935,12861,48772,70737,98459,151130,213033,51,303501,420748,815920
10478960000,1035,4146,14090,51524,70260,93913,146798,203713,76,299916,416686,790676
10478970000,1115,4801,10875,41501,67505,86520,140130,202566,58,286611,413362,690418
10478980000,446,3284,8348,29286,60179,80367,119713,166648,144,227523,333716,494783
10478990000,931,3381,8206,23784,58415,73609,99050,139326,34,203027,293962,419339
10479000000,1039,2572,5869,11603,44227,64259,77727,108210,32,163864,221277,312556
10479010000,536,2170,7264,18136,57284,75285,113529,163472,102,229247,322914,454761
