"MB_CODE16","value"
10011670000,1400691
10011680000,1425538
10011690000,1384091
10011700000,1375732
10011710000,1420803
10011720000,1386982
10011730000,1433114
10011740000,1407140
10011750000,1432593
10011760000,1409360
10011770000,1367041
10011780000,1367314
10011790000,1450528
10011800000,1450112
10011820000,1392906
10011830000,1436936
10011840000,1424220
10011860000,1395203
10011870000,1409848
10011880000,1366012
10011890000,1371132
10011900000,1378449
10011910000,1411449
10011920000,1427423
10011930000,1393103
10011940000,1459414
10011950000,1458425
10011960000,1420601
10011970000,1469958
10011980000,1464172
10011990000,1440885
10012000000,1393420
10012010000,1399803
10012020000,1420405
10012030000,1441249
10012040000,1438421
10012050000,1428307
10012060000,1448844
10012070000,1420807
10012080000,1435828
10012090000,1413443
10012100000,1407545
10012110000,1407477
10012120000,1410965
10012130000,1388857
10012140000,1375295
10012150000,1380168
10012160000,1416031
10012170000,1430813
10012180000,1439098
10012190000,1382455
10012200000,1332032
10012230000,1381504
10012240000,1448061
10012250000,1363166
10012260000,1333370
10012270000,1342228
10012280000,1354945
10012290000,1357332
10012300000,1490937
10012310000,1463412
10012320000,1434783
10012330000,1415540
10012340000,1402674
10012360000,1417267
10012370000,1389009
10012380000,1408342
10012390000,1445460
10012400000,1310744
10012410000,1316575
10012420000,1331328
10012430000,1360891
10012440000,1457219
10012450000,1443422
10012470000,1453285
10012480000,1440905
10012490000,1473381
10012500000,1434268
10012511000,1438912
10012520000,1406208
10012530000,1303131
10012540000,1445587
10012550000,1430641
10012640000,1419621
10012650000,1414415
10012690000,1415068
10012700000,1425710
10012730000,1422641
10012740000,1433490
10012760000,1424450
10012770000,1409874
10012780000,1422301
10012790000,1415086
10012800000,1428960
10012820000,1409430
10012840000,1461609
10012850000,1454806
10012870000,1469839
10012890000,1467851
10012930000,1426543
10012940000,1384370
10012950000,1385416
10012960000,1427087
10012970000,1467670
10012980000,1465227
10012990000,1425375
10013000000,1425307
10013010000,1423939
10013020000,1441170
10013030000,1412144
10013050000,1440181
10013060000,1415244
10013090000,1459231
10013130000,1330998
10013140000,1462065
10013150000,1363790
10013160000,1362143
10013170000,1341249
10013180000,1372271
10013190000,1459314
10013230000,1314849
10013240000,1454044
10013250000,1408581
10013261000,1414811
10013270000,1418943
10013280000,1395479
10013290000,1421956
10013300000,1436137
10013310000,1437001
10013340000,1421835
10013350000,1425076
10013360000,1315368
10013370000,1380868
10013380000,1391535
10013390000,1399306
10013401000,1390885
10013402000,1387901
10013410000,1393036
10013421000,1406071
10013422000,1404228
10013423000,1385777
10013430000,1405415
10013440000,1390039
10013460000,1390338
10013500000,1413418
10013510000,1394065
10013520000,1423938
10013530000,1419419
10013540000,1433368
10013550000,1436579
10013580000,1436074
10013590000,1442844
10013610000,1488016
10013620000,1490853
10013631000,1440918
10013640000,1470778
10013650000,1463956
10013660000,1463094
10013681000,1482447
10013682000,1479748
10013690000,1398674
10013700000,1412154
10013710000,1426053
10013740000,1439309
10013750000,1410999
10013760000,1428662
10013770000,1470047
10013780000,1462779
10013790000,1471925
10013810000,1454548
10013820000,1426467
10013830000,1438309
10013840000,1456454
10013850000,1461476
10013860000,1455599
10013870000,1461722
10013880000,1430665
10013890000,1462313
10013920000,1452184
10013930000,1416154
10013940000,1410572
10013950000,1413926
10013960000,1414076
10013990000,1417948
10014000000,1421491
10014010000,1403847
10014020000,1441893
10014030000,1443787
10014040000,1440011
10014050000,1446844
10014060000,1471031
10014100000,1414797
10014111000,1411053
10014120000,1405298
10014130000,1420981
10014140000,1429626
10014150000,1425058
10014180000,1455851
10014250000,1464058
10014260000,1485747
10014270000,1460600
10014280000,1463082
10014290000,1453842
10014300000,1461285
10014330000,1429125
10014350000,1453231
10014360000,1445695
10014380000,1444010
10014390000,1453874
10014400000,1433763
10014410000,1423375
10014420000,1449288
10014450000,1490492
10014460000,1457357
10014470000,1160490
10014480000,1456881
10014490000,1452257
10014500000,1455966
10014510000,1446756
10014520000,1444686
10014530000,1434542
10014540000,1437071
10014550000,1444524
10014560000,1425808
10014570000,1423284
10014580000,1415085
10014590000,1423274
10014600000,1419340
10014610000,1410668
10014640000,1446904
10014650000,1433503
10014660000,1454397
10014670000,1433765
10014680000,1456843
10014730000,1470831
10014770000,1266972
10014790000,1422044
10014800000,1420235
10014810000,1421030
10014840000,1434958
10014850000,1408481
10014880000,1431766
10014890000,1424215
10014900000,1426766
10014910000,1444225
10014920000,1458239
10014930000,1457910
10014940000,1462805
10014950000,1481337
10014960000,1475208
10014970000,1434315
10014980000,1411844
10014990000,1388946
10015000000,1414184
10015010000,1364542
10015020000,1392778
10015030000,1350303
10015040000,1316718
10015050000,1356124
10015060000,1367704
10015070000,1346853
10015080000,1405569
10015090000,1391835
10015100000,1412190
10015110000,1404971
10015120000,1419925
10015130000,1413007
10015140000,1421600
10015150000,1411161
10015160000,1391188
10015170000,1435658
10015181000,1438638
10015182000,1429593
10015190000,1417734
10015200000,1431031
10015210000,1415914
10015220000,1411892
10015250000,1329330
10015260000,1350010
10015280000,1384060
10015290000,1384564
10015300000,1374226
10015310000,1383300
10015320000,1375818
10015330000,1395215
10015340000,1405902
10015350000,1398696
10015360000,1394952
10015370000,1412457
10015380000,1397559
10015390000,1342106
10015400000,1383267
10015410000,1337293
10015420000,1423234
10015431000,1423464
10015432000,1426527
10015460000,1415152
10015500000,1387132
10015550000,1362661
10015560000,1416571
10015570000,1402930
10015580000,1421283
10015590000,1331125
10015600000,1335752
10015610000,1331146
10015620000,1372789
10015630000,1392512
10015640000,1399284
10015650000,1358468
10015660000,1368285
10015670000,1395795
10015700000,1420623
10015722000,1430386
10015732000,1433318
10015740000,1433274
10015751000,1430828
10015752000,1420692
10015760000,1424082
10015770000,1423798
10015781000,1406850
10015782000,1418182
10015811000,1406933
10015830000,1417553
10015840000,1407287
10015850000,1392812
10015860000,1403515
10015870000,1404262
10015890000,1398222
10015900000,1398441
10015910000,1398286
10015920000,1399339
10015930000,1407898
10015941000,1396438
10015942000,1408944
10015961000,1408514
10015962000,1403599
10015970000,1404434
10015992000,1411512
10016001000,1426817
10016002000,1444082
10016012000,1432705
10016020000,1411701
10016030000,1435866
10016040000,1411626
10016050000,1444627
10016070000,1460485
10016080000,1463843
10016090000,1450535
10016100000,1458618
10016110000,1461677
10016140000,1450136
10016151000,1445472
10016160000,1448440
10016180000,1463236
10016200000,1453915
10016210000,1463025
10016220000,1448658
10016230000,1462893
10016240000,1469771
10016250000,1463471
10016260000,1473303
10016280000,1454873
10016290000,1442554
10016300000,1449886
10016330000,1454693
10016342000,1450914
10016350000,1441090
10016360000,1455217
10016370000,1430157
10016390000,1442277
10016400000,1458494
10016411000,1470921
10016414000,1470944
10016415000,1439782
10016420000,1439632
10016430000,1444818
10016440000,1421380
10016450000,1420175
10016460000,1407465
10016470000,1426529
10016482000,1432135
10016490000,1415323
10016510000,1440167
10016520000,1466062
10016530000,1437839
10016540000,1461969
10016581000,1445634
10016582000,1428529
10016590000,1451886
10016600000,1436499
10016611000,1444189
10016640000,1416373
10016650000,1487922
10016661000,1450429
10016662000,1461560
10016670000,1470541
10016680000,1134025
10016690000,1465364
10016700000,1463741
10016710000,1430201
10016720000,1432655
10016740000,1453374
10016760000,1456650
10016770000,1419375
10016782000,1438874
10016801000,1419115
10016802000,1403213
10016811000,1408995
10016812000,1420639
10016820000,1424437
10016860000,1429549
10016870000,1431813
10016880000,1440501
10016891000,1508758
10016900000,1497364
10016911000,1503572
10016920000,1379280
10016931000,1419026
10016932000,1414185
10016952000,1436668
10016960000,1371237
10016970000,1368489
10016980000,1373644
10016990000,1438064
10017000000,1334488
10017010000,1408823
10017020000,1406017
10017030000,1442585
10017040000,1432140
