SGS_CoDBC_Precincts190924,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
15th Ave,22537.0,24762.0,27049.0,28957.0,30139.0,33908.0,38634.0,44274.0,46401.0,12425.0,13289.0,13748.0,14314.0,15051.0,15565.0,16072.0,16823.0,18581.0
Aerotropolis,10155.0,10710.0,13648.0,18953.0,40957.0,63246.0,70469.0,76556.0,88341.0,4432.0,5737.0,23790.0,37358.0,51531.0,77771.0,105389.0,135972.0,144808.0
Australian Defence,123.0,129.0,379.0,761.0,1291.0,3452.0,5619.0,7791.0,10505.0,361.0,407.0,474.0,607.0,640.0,768.0,831.0,880.0,937.0
Bargo,4121.0,4219.0,4413.0,4572.0,4739.0,5138.0,5696.0,6393.0,7095.0,322.0,334.0,350.0,375.0,405.0,435.0,467.0,481.0,491.0
Blacktown,6216.0,7712.0,10266.0,13239.0,16829.0,18802.0,21312.0,24267.0,24354.0,17656.0,18893.0,20415.0,22041.0,23938.0,25951.0,28123.0,30125.0,32031.0
Bonnyrigg,4742.0,5278.0,6582.0,8257.0,9819.0,11148.0,11482.0,11843.0,12208.0,1386.0,1416.0,1419.0,1499.0,1596.0,1685.0,1735.0,1814.0,1926.0
Buxton,2088.0,2127.0,2155.0,2168.0,2178.0,2194.0,2212.0,2232.0,2253.0,151.0,158.0,181.0,199.0,222.0,241.0,261.0,271.0,274.0
Cabramatta,12721.0,12958.0,13241.0,13566.0,14013.0,15140.0,16361.0,17668.0,18984.0,4956.0,5227.0,5324.0,5584.0,5906.0,6345.0,6647.0,7155.0,7678.0
Camden,7370.0,7876.0,8456.0,8838.0,9266.0,10673.0,12365.0,14178.0,16008.0,4863.0,5553.0,6036.0,6427.0,6885.0,8117.0,9503.0,11749.0,13640.0
Camden South,4655.0,4747.0,4852.0,4918.0,4977.0,5235.0,5682.0,6255.0,6833.0,510.0,555.0,588.0,625.0,669.0,769.0,878.0,1061.0,1207.0
Campbelltown-Macarthur,13026.0,16157.0,19600.0,22069.0,25290.0,26520.0,27221.0,27755.0,28294.0,19055.0,20343.0,22045.0,23490.0,25019.0,26590.0,28730.0,31872.0,34023.0
