SGS_CoDBC_SubPrecinct190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,SGS_CoDBC_Precincts190924
15th Ave,22537,46401,12425,18581,15th Ave
Aerotropolis Core,1283,23831,659,58313,Aerotropolis
Agriculture and Agribusiness,3464,5541,973,14085,Aerotropolis
Alex Avenue,4682,40234,778,2543,NWGA
Austral,1312,31562,408,11003,SWGA
Australian Defence,123,10505,361,937,Australian Defence
Badgerys Creek,178,0,31,132,Aerotropolis
Bargo,4121,7095,322,491,Bargo
Bingara Gorge,985,16546,3,90,Wilton
Blacktown,6216,24354,17656,32031,Blacktown
Bonnyrigg,4742,12208,1386,1926,Bonnyrigg
Buxton,2088,2253,151,274,Buxton
Cabramatta,12721,18984,4956,7678,Cabramatta
Camden,7370,16008,4863,13640,Camden
Camden South,4655,6833,510,1207,Camden South
Campbelltown,8752,15074,11088,22134,Campbelltown-Macarthur
Canley Heights,2307,6463,778,779,Canley Heights
Canley Vale,3204,5267,816,871,Canley Vale
Carnes Hill,1252,7548,846,1833,Carnes Hill
Casula,5782,15339,1430,2135,Casula
Catherine Fields,1643,4906,519,1158,SWGA
Catherine Fields (Part),77,13332,158,2472,SWGA
Catherine Fields North,1028,17058,262,399,SWGA
Chipping Norton,3816,5603,370,534,Chipping Norton
Colebee,1994,8278,43,1284,NWGA
Cranebrook and Werrington Downs,28251,47766,2417,3865,Cranebrook and Werrington Downs
Currans Hill,5423,6210,466,846,Currans Hill
Doonside,7077,9480,1021,1526,Doonside
East Leppington,1562,12383,294,2003,SWGA
Edensor Park,5064,7298,648,979,Edensor Park
Edmondson Park,4010,41731,372,6824,Edmonson Park
Established_Blacktown (C),200735,262421,46213,76096,Established
Established_Blue Mountains (C),62384,72676,17896,24018,Established
Established_Campbelltown (C) (NSW),105528,174387,11126,15649,Established
Established_Fairfield (C),126683,173904,19321,28217,Established
Established_Hawkesbury (C),12763,16736,7243,10792,Established
Established_Liverpool (C),121378,192563,27488,44998,Established
Established_Penrith (C),18480,33120,6427,10873,Established
Fairfield,10850,22539,5897,7668,Fairfield
Fairfield Heights,5241,8966,856,1477,Fairfield Heights
Fairfield West,6741,7753,748,1298,Fairfield West
Gilead,276,9897,279,674,Gilead
Gledswood Hills/The Crest,17,2710,137,384,SWGA
Glenfield,9926,21535,2387,4258,Glenfield
Green Valley,2898,3997,107,321,Green Valley
Greenfield,2397,3262,543,945,Greenfield
Harrington Park,10778,14628,1115,3628,Harrington Park
Holsworthy Army Base,574,1597,2508,3607,Holsworthy Army Base
Horsley,2456,15304,1069,9969,Horsley
Ingleburn,10196,12450,11962,17043,Ingleburn
Jordan Springs,5303,11580,621,632,Jordan Springs
Kemps Creek,1363,651,823,6281,Aerotropolis
Kingswood and Werrington,19306,39403,9506,21309,Kingswood and Werrington
Leppington North,2445,38784,1290,19084,SWGA
Leppington Stage 1,316,10941,97,648,SWGA
Leppington Stages 2-5,355,10051,91,154,SWGA
Leumeah,8285,10566,2597,3271,Leumeah
