Area,Data type,Year,Number,Unnamed: 4,LGA
Sutherland Shire,Total Population,2016,226041,,Sutherland Shire
Sutherland Shire,Total Population,2017,228246,,Sutherland Shire
Sutherland Shire,Total Population,2018,231351,,Sutherland Shire
Sutherland Shire,Total Population,2019,234449,,Sutherland Shire
Sutherland Shire,Total Population,2020,237498,,Sutherland Shire
Sutherland Shire,Total Population,2021,240514,,Sutherland Shire
Sutherland Shire,Total Population,2022,242811,,Sutherland Shire
Sutherland Shire,Total Population,2023,244838,,Sutherland Shire
Sutherland Shire,Total Population,2024,246581,,Sutherland Shire
Sutherland Shire,Total Population,2025,247990,,Sutherland Shire
Sutherland Shire,Total Population,2026,249590,,Sutherland Shire
Sutherland Shire,Total Population,2027,250880,,Sutherland Shire
Sutherland Shire,Total Population,2028,252366,,Sutherland Shire
Sutherland Shire,Total Population,2029,253841,,Sutherland Shire
Sutherland Shire,Total Population,2030,255452,,Sutherland Shire
Sutherland Shire,Total Population,2031,257408,,Sutherland Shire
Sutherland Shire,Total Population,2032,259065,,Sutherland Shire
Sutherland Shire,Total Population,2033,260735,,Sutherland Shire
Sutherland Shire,Total Population,2034,262393,,Sutherland Shire
Sutherland Shire,Total Population,2035,264131,,Sutherland Shire
Sutherland Shire,Total Population,2036,266020,,Sutherland Shire
Alfords Point,Total Population,2016,3251,,Sutherland Shire
Alfords Point,Total Population,2017,3238,,Sutherland Shire
Alfords Point,Total Population,2018,3255,,Sutherland Shire
Alfords Point,Total Population,2019,3248,,Sutherland Shire
Alfords Point,Total Population,2020,3224,,Sutherland Shire
Alfords Point,Total Population,2021,3217,,Sutherland Shire
Alfords Point,Total Population,2022,3215,,Sutherland Shire
Alfords Point,Total Population,2023,3233,,Sutherland Shire
Alfords Point,Total Population,2024,3245,,Sutherland Shire
Alfords Point,Total Population,2025,3252,,Sutherland Shire
Alfords Point,Total Population,2026,3257,,Sutherland Shire
Alfords Point,Total Population,2027,3260,,Sutherland Shire
Alfords Point,Total Population,2028,3271,,Sutherland Shire
Alfords Point,Total Population,2029,3276,,Sutherland Shire
Alfords Point,Total Population,2030,3273,,Sutherland Shire
Alfords Point,Total Population,2031,3280,,Sutherland Shire
Alfords Point,Total Population,2032,3277,,Sutherland Shire
Alfords Point,Total Population,2033,3276,,Sutherland Shire
Alfords Point,Total Population,2034,3274,,Sutherland Shire
Alfords Point,Total Population,2035,3274,,Sutherland Shire
Alfords Point,Total Population,2036,3275,,Sutherland Shire
Bangor,Total Population,2016,5720,,Sutherland Shire
Bangor,Total Population,2017,5702,,Sutherland Shire
Bangor,Total Population,2018,5673,,Sutherland Shire
Bangor,Total Population,2019,5663,,Sutherland Shire
Bangor,Total Population,2020,5644,,Sutherland Shire
Bangor,Total Population,2021,5624,,Sutherland Shire
Bangor,Total Population,2022,5611,,Sutherland Shire
Bangor,Total Population,2023,5585,,Sutherland Shire
Bangor,Total Population,2024,5580,,Sutherland Shire
Bangor,Total Population,2025,5574,,Sutherland Shire
Bangor,Total Population,2026,5565,,Sutherland Shire
Bangor,Total Population,2027,5558,,Sutherland Shire
Bangor,Total Population,2028,5548,,Sutherland Shire
Bangor,Total Population,2029,5542,,Sutherland Shire
Bangor,Total Population,2030,5540,,Sutherland Shire
Bangor,Total Population,2031,5541,,Sutherland Shire
Bangor,Total Population,2032,5545,,Sutherland Shire
Bangor,Total Population,2033,5538,,Sutherland Shire
Bangor,Total Population,2034,5543,,Sutherland Shire
Bangor,Total Population,2035,5545,,Sutherland Shire
Bangor,Total Population,2036,5554,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2016,4412,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2017,4390,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2018,4330,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2019,4284,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2020,4316,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2021,4374,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2022,4423,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2023,4484,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2024,4557,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2025,4692,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2026,4780,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2027,4862,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2028,4944,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2029,5035,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2030,5143,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2031,5224,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2032,5320,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2033,5409,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2034,5433,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2035,5463,,Sutherland Shire
Barden Ridge - Lucas Heights,Total Population,2036,5498,,Sutherland Shire
Bonnet Bay,Total Population,2016,2407,,Sutherland Shire
Bonnet Bay,Total Population,2017,2411,,Sutherland Shire
Bonnet Bay,Total Population,2018,2402,,Sutherland Shire
Bonnet Bay,Total Population,2019,2395,,Sutherland Shire
Bonnet Bay,Total Population,2020,2391,,Sutherland Shire
Bonnet Bay,Total Population,2021,2389,,Sutherland Shire
Bonnet Bay,Total Population,2022,2380,,Sutherland Shire
Bonnet Bay,Total Population,2023,2374,,Sutherland Shire
Bonnet Bay,Total Population,2024,2374,,Sutherland Shire
Bonnet Bay,Total Population,2025,2367,,Sutherland Shire
Bonnet Bay,Total Population,2026,2358,,Sutherland Shire
Bonnet Bay,Total Population,2027,2352,,Sutherland Shire
Bonnet Bay,Total Population,2028,2353,,Sutherland Shire
Bonnet Bay,Total Population,2029,2350,,Sutherland Shire
Bonnet Bay,Total Population,2030,2346,,Sutherland Shire
Bonnet Bay,Total Population,2031,2347,,Sutherland Shire
Bonnet Bay,Total Population,2032,2351,,Sutherland Shire
Bonnet Bay,Total Population,2033,2346,,Sutherland Shire
Bonnet Bay,Total Population,2034,2349,,Sutherland Shire
Bonnet Bay,Total Population,2035,2350,,Sutherland Shire
Bonnet Bay,Total Population,2036,2346,,Sutherland Shire
Bundeena - Maianbar,Total Population,2016,2529,,Sutherland Shire
Bundeena - Maianbar,Total Population,2017,2524,,Sutherland Shire
Bundeena - Maianbar,Total Population,2018,2506,,Sutherland Shire
Bundeena - Maianbar,Total Population,2019,2505,,Sutherland Shire
Bundeena - Maianbar,Total Population,2020,2487,,Sutherland Shire
Bundeena - Maianbar,Total Population,2021,2473,,Sutherland Shire
Bundeena - Maianbar,Total Population,2022,2466,,Sutherland Shire
Bundeena - Maianbar,Total Population,2023,2452,,Sutherland Shire
Bundeena - Maianbar,Total Population,2024,2446,,Sutherland Shire
Bundeena - Maianbar,Total Population,2025,2446,,Sutherland Shire
Bundeena - Maianbar,Total Population,2026,2445,,Sutherland Shire
Bundeena - Maianbar,Total Population,2027,2453,,Sutherland Shire
Bundeena - Maianbar,Total Population,2028,2440,,Sutherland Shire
Bundeena - Maianbar,Total Population,2029,2441,,Sutherland Shire
Bundeena - Maianbar,Total Population,2030,2436,,Sutherland Shire
Bundeena - Maianbar,Total Population,2031,2438,,Sutherland Shire
Bundeena - Maianbar,Total Population,2032,2436,,Sutherland Shire
Bundeena - Maianbar,Total Population,2033,2450,,Sutherland Shire
Bundeena - Maianbar,Total Population,2034,2454,,Sutherland Shire
Bundeena - Maianbar,Total Population,2035,2464,,Sutherland Shire
Bundeena - Maianbar,Total Population,2036,2475,,Sutherland Shire
Burraneer,Total Population,2016,3707,,Sutherland Shire
Burraneer,Total Population,2017,3678,,Sutherland Shire
Burraneer,Total Population,2018,3666,,Sutherland Shire
Burraneer,Total Population,2019,3678,,Sutherland Shire
Burraneer,Total Population,2020,3687,,Sutherland Shire
Burraneer,Total Population,2021,3701,,Sutherland Shire
Burraneer,Total Population,2022,3712,,Sutherland Shire
Burraneer,Total Population,2023,3716,,Sutherland Shire
Burraneer,Total Population,2024,3713,,Sutherland Shire
Burraneer,Total Population,2025,3722,,Sutherland Shire
Burraneer,Total Population,2026,3727,,Sutherland Shire
Burraneer,Total Population,2027,3729,,Sutherland Shire
Burraneer,Total Population,2028,3734,,Sutherland Shire
Burraneer,Total Population,2029,3742,,Sutherland Shire
Burraneer,Total Population,2030,3749,,Sutherland Shire
Burraneer,Total Population,2031,3755,,Sutherland Shire
Burraneer,Total Population,2032,3762,,Sutherland Shire
Burraneer,Total Population,2033,3779,,Sutherland Shire
Burraneer,Total Population,2034,3787,,Sutherland Shire
Burraneer,Total Population,2035,3801,,Sutherland Shire
Burraneer,Total Population,2036,3815,,Sutherland Shire
Caringbah,Total Population,2016,12101,,Sutherland Shire
Caringbah,Total Population,2017,12343,,Sutherland Shire
Caringbah,Total Population,2018,13036,,Sutherland Shire
Caringbah,Total Population,2019,13730,,Sutherland Shire
Caringbah,Total Population,2020,14308,,Sutherland Shire
Caringbah,Total Population,2021,14594,,Sutherland Shire
Caringbah,Total Population,2022,14860,,Sutherland Shire
Caringbah,Total Population,2023,15150,,Sutherland Shire
Caringbah,Total Population,2024,15470,,Sutherland Shire
Caringbah,Total Population,2025,15790,,Sutherland Shire
Caringbah,Total Population,2026,16096,,Sutherland Shire
Caringbah,Total Population,2027,16407,,Sutherland Shire
Caringbah,Total Population,2028,16714,,Sutherland Shire
Caringbah,Total Population,2029,17029,,Sutherland Shire
Caringbah,Total Population,2030,17336,,Sutherland Shire
Caringbah,Total Population,2031,17643,,Sutherland Shire
Caringbah,Total Population,2032,17957,,Sutherland Shire
Caringbah,Total Population,2033,18263,,Sutherland Shire
Caringbah,Total Population,2034,18577,,Sutherland Shire
Caringbah,Total Population,2035,18885,,Sutherland Shire
Caringbah,Total Population,2036,19197,,Sutherland Shire
Caringbah South,Total Population,2016,12549,,Sutherland Shire
Caringbah South,Total Population,2017,12821,,Sutherland Shire
Caringbah South,Total Population,2018,12893,,Sutherland Shire
Caringbah South,Total Population,2019,12960,,Sutherland Shire
Caringbah South,Total Population,2020,13046,,Sutherland Shire
Caringbah South,Total Population,2021,13110,,Sutherland Shire
Caringbah South,Total Population,2022,13145,,Sutherland Shire
Caringbah South,Total Population,2023,13187,,Sutherland Shire
Caringbah South,Total Population,2024,13232,,Sutherland Shire
Caringbah South,Total Population,2025,13266,,Sutherland Shire
Caringbah South,Total Population,2026,13307,,Sutherland Shire
Caringbah South,Total Population,2027,13332,,Sutherland Shire
Caringbah South,Total Population,2028,13364,,Sutherland Shire
Caringbah South,Total Population,2029,13408,,Sutherland Shire
Caringbah South,Total Population,2030,13447,,Sutherland Shire
Caringbah South,Total Population,2031,13490,,Sutherland Shire
Caringbah South,Total Population,2032,13523,,Sutherland Shire
Caringbah South,Total Population,2033,13568,,Sutherland Shire
Caringbah South,Total Population,2034,13620,,Sutherland Shire
Caringbah South,Total Population,2035,13683,,Sutherland Shire
Caringbah South,Total Population,2036,13748,,Sutherland Shire
Como,Total Population,2016,4121,,Sutherland Shire
Como,Total Population,2017,4101,,Sutherland Shire
Como,Total Population,2018,4090,,Sutherland Shire
Como,Total Population,2019,4067,,Sutherland Shire
Como,Total Population,2020,4042,,Sutherland Shire
Como,Total Population,2021,4020,,Sutherland Shire
Como,Total Population,2022,3999,,Sutherland Shire
Como,Total Population,2023,3977,,Sutherland Shire
Como,Total Population,2024,3962,,Sutherland Shire
Como,Total Population,2025,3948,,Sutherland Shire
Como,Total Population,2026,3935,,Sutherland Shire
Como,Total Population,2027,3921,,Sutherland Shire
Como,Total Population,2028,3910,,Sutherland Shire
Como,Total Population,2029,3906,,Sutherland Shire
Como,Total Population,2030,3904,,Sutherland Shire
Como,Total Population,2031,3896,,Sutherland Shire
Como,Total Population,2032,3899,,Sutherland Shire
Como,Total Population,2033,3910,,Sutherland Shire
Como,Total Population,2034,3920,,Sutherland Shire
Como,Total Population,2035,3934,,Sutherland Shire
Como,Total Population,2036,3945,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2016,19625,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2017,19862,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2018,20226,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2019,20505,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2020,20781,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2021,21065,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2022,21268,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2023,21496,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2024,21700,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2025,21938,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2026,22197,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2027,22424,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2028,22655,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2029,22876,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2030,23120,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2031,23407,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2032,23646,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2033,23877,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2034,24113,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2035,24352,,Sutherland Shire
Cronulla - Greenhills Beach,Total Population,2036,24608,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2016,3330,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2017,3343,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2018,3332,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2019,3325,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2020,3323,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2021,3319,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2022,3317,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2023,3314,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2024,3314,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2025,3315,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2026,3319,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2027,3325,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2028,3335,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2029,3345,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2030,3355,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2031,3373,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2032,3392,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2033,3411,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2034,3428,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2035,3447,,Sutherland Shire
Dolans Bay - Port Hacking - Lilli Pilli,Total Population,2036,3467,,Sutherland Shire
Engadine,Total Population,2016,17795,,Sutherland Shire
Engadine,Total Population,2017,17870,,Sutherland Shire
Engadine,Total Population,2018,18136,,Sutherland Shire
Engadine,Total Population,2019,18315,,Sutherland Shire
Engadine,Total Population,2020,18488,,Sutherland Shire
Engadine,Total Population,2021,19034,,Sutherland Shire
Engadine,Total Population,2022,19176,,Sutherland Shire
Engadine,Total Population,2023,19330,,Sutherland Shire
Engadine,Total Population,2024,19478,,Sutherland Shire
Engadine,Total Population,2025,19645,,Sutherland Shire
Engadine,Total Population,2026,19827,,Sutherland Shire
Engadine,Total Population,2027,20001,,Sutherland Shire
Engadine,Total Population,2028,20195,,Sutherland Shire
Engadine,Total Population,2029,20379,,Sutherland Shire
Engadine,Total Population,2030,20570,,Sutherland Shire
Engadine,Total Population,2031,20775,,Sutherland Shire
Engadine,Total Population,2032,20974,,Sutherland Shire
Engadine,Total Population,2033,21183,,Sutherland Shire
Engadine,Total Population,2034,21384,,Sutherland Shire
Engadine,Total Population,2035,21584,,Sutherland Shire
Engadine,Total Population,2036,21780,,Sutherland Shire
Grays Point,Total Population,2016,3146,,Sutherland Shire
Grays Point,Total Population,2017,3126,,Sutherland Shire
Grays Point,Total Population,2018,3106,,Sutherland Shire
Grays Point,Total Population,2019,3086,,Sutherland Shire
Grays Point,Total Population,2020,3071,,Sutherland Shire
Grays Point,Total Population,2021,3055,,Sutherland Shire
Grays Point,Total Population,2022,3031,,Sutherland Shire
Grays Point,Total Population,2023,3025,,Sutherland Shire
Grays Point,Total Population,2024,3010,,Sutherland Shire
Grays Point,Total Population,2025,3017,,Sutherland Shire
Grays Point,Total Population,2026,3018,,Sutherland Shire
Grays Point,Total Population,2027,3034,,Sutherland Shire
Grays Point,Total Population,2028,3036,,Sutherland Shire
Grays Point,Total Population,2029,3041,,Sutherland Shire
Grays Point,Total Population,2030,3044,,Sutherland Shire
Grays Point,Total Population,2031,3055,,Sutherland Shire
Grays Point,Total Population,2032,3051,,Sutherland Shire
Grays Point,Total Population,2033,3059,,Sutherland Shire
Grays Point,Total Population,2034,3061,,Sutherland Shire
Grays Point,Total Population,2035,3066,,Sutherland Shire
Grays Point,Total Population,2036,3074,,Sutherland Shire
Gymea,Total Population,2016,7866,,Sutherland Shire
Gymea,Total Population,2017,8112,,Sutherland Shire
Gymea,Total Population,2018,8158,,Sutherland Shire
Gymea,Total Population,2019,8325,,Sutherland Shire
Gymea,Total Population,2020,8369,,Sutherland Shire
Gymea,Total Population,2021,8416,,Sutherland Shire
Gymea,Total Population,2022,8461,,Sutherland Shire
Gymea,Total Population,2023,8499,,Sutherland Shire
Gymea,Total Population,2024,8556,,Sutherland Shire
Gymea,Total Population,2025,8604,,Sutherland Shire
Gymea,Total Population,2026,8660,,Sutherland Shire
Gymea,Total Population,2027,8693,,Sutherland Shire
Gymea,Total Population,2028,8717,,Sutherland Shire
Gymea,Total Population,2029,8756,,Sutherland Shire
Gymea,Total Population,2030,8799,,Sutherland Shire
Gymea,Total Population,2031,8839,,Sutherland Shire
Gymea,Total Population,2032,8876,,Sutherland Shire
Gymea,Total Population,2033,8918,,Sutherland Shire
Gymea,Total Population,2034,8967,,Sutherland Shire
Gymea,Total Population,2035,9006,,Sutherland Shire
Gymea,Total Population,2036,9048,,Sutherland Shire
Gymea Bay,Total Population,2016,7061,,Sutherland Shire
Gymea Bay,Total Population,2017,7055,,Sutherland Shire
Gymea Bay,Total Population,2018,7042,,Sutherland Shire
Gymea Bay,Total Population,2019,7011,,Sutherland Shire
Gymea Bay,Total Population,2020,6991,,Sutherland Shire
Gymea Bay,Total Population,2021,6969,,Sutherland Shire
Gymea Bay,Total Population,2022,6955,,Sutherland Shire
Gymea Bay,Total Population,2023,6941,,Sutherland Shire
Gymea Bay,Total Population,2024,6930,,Sutherland Shire
Gymea Bay,Total Population,2025,6918,,Sutherland Shire
Gymea Bay,Total Population,2026,6912,,Sutherland Shire
Gymea Bay,Total Population,2027,6902,,Sutherland Shire
Gymea Bay,Total Population,2028,6902,,Sutherland Shire
Gymea Bay,Total Population,2029,6900,,Sutherland Shire
Gymea Bay,Total Population,2030,6902,,Sutherland Shire
Gymea Bay,Total Population,2031,6903,,Sutherland Shire
Gymea Bay,Total Population,2032,6906,,Sutherland Shire
Gymea Bay,Total Population,2033,6914,,Sutherland Shire
