lga_name16,Ratio_2016,Ratio_2021,Ratio_2026,Ratio_2031,Ratio_2036,Ratio_2041
Blacktown (C),1.009,1.020,1.046,1.062,1.097,
Blue Mountains (C),0.999,0.993,0.997,0.985,0.984,
Botany Bay (C),,,,,,
Burwood (A),1.022,0.995,1.078,1.150,1.247,
Camden (A),0.995,0.846,0.837,0.859,0.888,
Campbelltown (C) (NSW),1.005,0.966,0.910,0.844,0.804,
Canada Bay (A),1.002,0.999,1.026,1.031,1.019,
Canterbury-Bankstown (A),1.001,0.986,1.000,1.038,1.073,
Cumberland (A),0.991,0.943,0.922,0.928,0.943,
Fairfield (C),1.000,0.975,0.973,0.972,0.980,
Georges River (A),0.999,0.986,0.981,0.971,0.974,
Hawkesbury (C),,,,,,
Hornsby (A),0.980,0.984,0.974,0.971,0.982,
Hunters Hill (A),,,,,,
Inner West (A),0.991,0.999,0.996,1.005,1.030,
Ku-ring-gai (A),,,,,,
Lane Cove (A),,,,,,
Liverpool (C),0.997,0.994,1.002,0.970,0.970,1.027
Mosman (A),0.992,0.982,0.976,0.974,0.982,
North Sydney (A),0.991,0.985,1.020,1.070,1.117,
Northern Beaches (A),0.997,0.977,0.961,0.959,0.961,
Parramatta (C),0.997,0.989,0.942,0.899,0.881,0.855
Penrith (C),,,,,,
Randwick (C),,,,,,
Rockdale (C),,,,,,
Ryde (C),,,,,,
Strathfield (A),0.993,0.944,0.999,1.012,1.048,
Sutherland Shire (A),0.999,0.980,0.973,0.981,0.991,
Sydney (C),0.994,0.887,0.812,0.827,0.841,0.854
The Hills Shire (A),1.011,1.057,1.126,1.152,1.175,
Waverley (A),,,,,,
Willoughby (C),1.010,0.974,0.957,0.956,0.973,
Wollondilly (A),1.002,0.956,0.957,0.918,0.910,0.889
Woollahra (A),,,,,,
