Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Area,LGA_fid,2016,2036,2041
ABBOTSBURY,Fairfield (C),1764,6297.0,7102.0,723.0,1087.0,Abbotsbury,Fairfield City,4439.0,4581.0,
ABBOTSFORD,Canada Bay (A),1568,5601.0,6849.0,803.0,1354.0,,,,,
ACACIA GARDENS,Blacktown (C),1230,3958.0,5502.0,289.0,721.0,,,,,
AGNES BANKS,Penrith (C),1319,1392.0,1490.0,421.0,508.0,,,,,
AIRDS,Campbelltown (C) (NSW),526,2999.0,5305.0,592.0,906.0,Airds,Campbelltown City,3082.0,5108.0,
ALEXANDRIA,Sydney (C),4473,8655.0,12466.0,26386.0,35254.0,,,,,
ALFORDS POINT,Sutherland Shire (A),2174,3265.0,3849.0,300.0,473.0,Alfords Point,Sutherland Shire,3251.0,3275.0,
ALLAMBIE HEIGHTS,Northern Beaches (A),1017,7358.0,8009.0,1985.0,3051.0,Allambie Heights,Northern Beaches Council area,7274.0,7860.0,
ALLAWAH,Georges River (A),2214,6419.0,7790.0,327.0,478.0,Allawah,Georges River Council area,5980.0,7094.0,
AMBARVALE,Campbelltown (C) (NSW),600,6613.0,10529.0,527.0,786.0,,,,,
ANNANDALE,Inner West (A),2301,9828.0,14913.0,3051.0,4783.0,Annandale,Inner West Council area,9973.0,10776.0,
ANNANGROVE,The Hills Shire (A),523,874.0,920.0,406.0,593.0,,,,,
APPIN,Wollondilly (A),94,2720.0,8096.0,1610.0,10425.0,,,,,
ARCADIA,Hornsby (A),519,2016.0,3622.0,643.0,925.0,,,,,
ARNCLIFFE,Rockdale (C),9345,9870.0,28618.0,2276.0,3632.0,,,,,
ARNDELL PARK,Blacktown (C),680,35.0,68.0,6414.0,8574.0,,,,,
ARTARMON,Willoughby (C),5500,9978.0,11117.0,12092.0,14167.0,Artarmon,Willoughby City,10004.0,10420.0,
ASHBURY,Canterbury-Bankstown (A),857,3351.0,4373.0,417.0,645.0,Ashbury,City of Canterbury Bankstown,3367.0,4314.0,
ASHCROFT,Liverpool (C),332,3685.0,6940.0,289.0,937.0,,,,,
ASHFIELD,Inner West (A),6039,25598.0,35334.0,8740.0,14177.0,,,,,
ASQUITH,Hornsby (A),1056,3864.0,10195.0,1637.0,2259.0,Asquith,Hornsby Shire,3663.0,8898.0,
