MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10476580000",150.8771641000,-33.9097360000,"2296","54166","116",BUSBY,"1954"
"10476590000",150.8781868000,-33.9229483000,"7087","54647","222",MILLER,"2997"
"10476600000",150.8787125000,-33.9121753000,"3700","49148","152",BUSBY,"2073"
"10476610000",150.8789669000,-33.9132444000,"3038","48989","100",BUSBY,"2033"
"10476620000",150.8796021000,-33.9193745000,"5303","65089","224",MILLER,"3074"
"10476630000",150.8803897000,-33.9223381000,"5877","42968","248",MILLER,"2988"
"10476640000",150.8812204000,-33.9540552000,"471","52859","180",CASULA,"471"
"10476650000",150.8843635000,-33.9261262000,"648","71258","119",CARTWRIGHT,"628"
"10476660000",150.8866862000,-33.9236505000,"3161","66594","0",CARTWRIGHT,"1505"
"10476670000",150.8858211000,-33.9563636000,"2509","62953","122",CASULA,"866"
"10476680000",150.8876746000,-33.9076071000,"2707","62891","128",HECKENBERG,"1368"
"10476690000",150.8871747000,-33.9175812000,"4347","64274","140",SADLEIR,"2232"
"10476700000",150.8883482000,-33.9552635000,"2887","65924","87",CASULA,"1314"
"10476710000",150.8894591000,-33.9093788000,"3423","61811","144",HECKENBERG,"1506"
"10476720000",150.8893410000,-33.9062155000,"2776","70608","128",HECKENBERG,"1171"
"10476730000",150.8920014000,-33.9170295000,"3241","58219","157",SADLEIR,"1422"
"10476740000",150.8921947000,-33.9178712000,"1722","59823","149",SADLEIR,"1418"
"10476750000",150.8908144000,-33.9251108000,"9169","84833","0",CARTWRIGHT,"1839"
"10476760000",150.8910274000,-33.9508087000,"1958","60912","191",CASULA,"1174"
"10476770000",150.8923731000,-33.9197332000,"2417","62564","193",SADLEIR,"2000"
"10476780000",150.8915164000,-33.9344491000,"6324","67935","109",LURNEA,"3615"
"10476790000",150.8917741000,-33.9068803000,"1981","60594","113",HECKENBERG,"988"
"10476820000",150.8930914000,-33.9413368000,"2447","56474","118",LURNEA,"1115"
"10476830000",150.8939631000,-33.9385111000,"3265","58790","161",LURNEA,"1486"
"10476840000",150.8943199000,-33.9348392000,"5854","72989","76",LURNEA,"1794"
"10476850000",150.8955422000,-33.9439498000,"890","36203","122",LURNEA,"840"
"10476860000",150.8951881000,-33.9356590000,"3074","59588","121",LURNEA,"1308"
"10476870000",150.8961135000,-33.9113436000,"1651","56483","153",ASHCROFT,"1544"
"10476880000",150.8966060000,-33.9567772000,"808","39267","90",CASULA,"808"
"10476890000",150.8986617000,-33.9364516000,"1588","38771","166",LURNEA,"1272"
"10476900000",150.8985482000,-33.9185191000,"2236","58762","86",ASHCROFT,"1197"
"10476910000",150.8987446000,-33.9124498000,"2260","56070","97",ASHCROFT,"1036"
"10476920000",150.8994143000,-33.9301590000,"3443","87368","137",LURNEA,"1399"
"10476930000",150.8992653000,-33.9193771000,"1545","57433","85",ASHCROFT,"988"
"10476940000",150.9000650000,-33.9199585000,"991","56339","96",ASHCROFT,"773"
"10476950000",150.8997837000,-33.9117739000,"1250","56650","117",ASHCROFT,"928"
"10476960000",150.9017430000,-33.9572778000,"493","47014","149",CASULA,"439"
"10476970000",150.9047595000,-33.9420454000,"1110","61326","134",CASULA,"771"
"10476980000",150.9052023000,-33.9546348000,"1137","64310","89",CASULA,"892"
"10476990000",150.9074542000,-33.9358761000,"1747","59808","244",LIVERPOOL,"1427"
"10477000000",150.9069314000,-33.9423061000,"1961","62706","65",CASULA,"828"
"10477010000",150.9085852000,-33.9481946000,"3595","79508","96",CASULA,"365"
"10477020000",150.9088007000,-33.9406804000,"2049","67522","122",CASULA,"732"
"10477030000",150.9088820000,-33.9418739000,"2231","65621","91",CASULA,"789"
"10477040000",150.9088905000,-33.9427932000,"1905","64136","121",CASULA,"957"
"10477050000",150.9123621000,-33.9118792000,"6954","56008","238",LIVERPOOL,"814"
"10477060000",150.9137543000,-33.9124375000,"2649","58481","217",LIVERPOOL,"1020"
"10477070000",150.9145741000,-33.9428170000,"2367","62926","166",CASULA,"487"
"10477080000",150.9160160000,-33.9111833000,"845","52578","242",LIVERPOOL,"845"
"10477090000",150.9179878000,-33.9365952000,"1274","59924","189",LIVERPOOL,"712"
"10477100000",150.9196911000,-33.9304014000,"4230","60709","221",LIVERPOOL,"4230"
"10477110000",150.9200584000,-33.9252573000,"25344","105547","98",LIVERPOOL,"23667"
"10477120000",150.9217680000,-33.9179307000,"24904","99833","207",LIVERPOOL,"23140"
"10477130000",150.9241188000,-33.9235736000,"51714","152896","0",LIVERPOOL,"37427"
"10477140000",150.9265918000,-33.9190846000,"39474","112620","8",LIVERPOOL,"37534"
"10477150000",150.9281388000,-33.9216547000,"43776","142032","6",LIVERPOOL,"39252"
"10477160000",150.9285363000,-33.9340247000,"5751","71239","338",MOOREBANK,"3422"
"10477180000",150.9296603000,-33.9324449000,"10502","80271","243",MOOREBANK,"3413"
"10477190000",150.9310838000,-33.9304468000,"15220","78064","228",MOOREBANK,"3448"
"10477200000",150.9315080000,-33.9333542000,"3602","55452","253",MOOREBANK,"3413"
"10477210000",150.9323841000,-33.9335247000,"6770","63515","243",MOOREBANK,"4803"
"10477220000",150.9320270000,-33.9150051000,"20597","99579","209",WARWICK FARM,"18644"
"10477230000",150.9328298000,-33.9142286000,"7352","108450","121",WARWICK FARM,"4238"
"10477240000",150.9334616000,-33.9142518000,"25816","123137","168",WARWICK FARM,"17611"
"10477250000",150.9372718000,-33.9361414000,"4646","62461","8",MOOREBANK,"3704"
"10477260000",150.9361700000,-33.9583581000,"686","4010","88",WATTLE GROVE,"686"
"10477270000",150.9388015000,-33.9630719000,"333","3922","100",WATTLE GROVE,"333"
"10477290000",150.9450466000,-33.9252548000,"1478","65044","128",CHIPPING NORTON,"878"
"10477300000",150.9459244000,-33.9268059000,"4089","82460","118",CHIPPING NORTON,"860"
"10477310000",150.9474989000,-33.9389405000,"2048","45554","383",MOOREBANK,"1757"
"10477320000",150.9474040000,-33.9275682000,"2332","71099","126",CHIPPING NORTON,"896"
"10477330000",150.9464952000,-33.9322695000,"2028","72649","220",MOOREBANK,"1002"
"10477340000",150.9469896000,-33.9536251000,"1439","7228","156",HOLSWORTHY,"1439"
"10477350000",150.9481706000,-33.9504660000,"1616","7168","119",HOLSWORTHY,"1616"
"10477360000",150.9476785000,-33.9575719000,"1291","6667","159",HOLSWORTHY,"1291"
"10477370000",150.9488025000,-33.9574577000,"1154","7066","134",HOLSWORTHY,"1154"
"10477390000",150.9499115000,-33.9461776000,"1564","9930","188",HAMMONDVILLE,"1564"
"10477400000",150.9506012000,-33.9352450000,"1835","75906","306",MOOREBANK,"1623"
"10477410000",150.9513899000,-33.9362101000,"1337","44430","333",MOOREBANK,"1252"
"10477420000",150.9507618000,-33.9304640000,"2360","88200","190",MOOREBANK,"1096"
"10477430000",150.9499869000,-33.9575454000,"1004","6460","0",HOLSWORTHY,"1004"
"10477440000",150.9512157000,-33.9400980000,"1239","15794","248",MOOREBANK,"937"
"10477450000",150.9504555000,-33.9258537000,"2622","75802","178",CHIPPING NORTON,"1014"
"10477460000",150.9502658000,-33.9401285000,"1081","11947","288",MOOREBANK,"952"
"10477470000",150.9535989000,-33.9507075000,"1802","6958","173",HAMMONDVILLE,"1968"
"10477480000",150.9525143000,-33.9129327000,"831","51314","100",CHIPPING NORTON,"392"
"10477490000",150.9534373000,-33.9030510000,"938","51855","0",CHIPPING NORTON,"849"
"10477500000",150.9533211000,-33.9095867000,"839","32147","99",CHIPPING NORTON,"310"
"10477510000",150.9547592000,-33.9509483000,"2242","5848","165",HAMMONDVILLE,"2242"
"10477520000",150.9556517000,-33.9504863000,"2337","5566","164",HAMMONDVILLE,"2337"
"10477530000",150.9557533000,-33.9255249000,"3527","77691","119",CHIPPING NORTON,"1789"
"10477540000",150.9568060000,-33.9504876000,"2390","5641","189",HAMMONDVILLE,"2390"
"10477560000",150.9578793000,-33.9100466000,"1101","50657","156",CHIPPING NORTON,"453"
"10477570000",150.9591561000,-33.9302413000,"1225","52812","358",MOOREBANK,"1077"
"10477580000",150.9589860000,-33.9138958000,"1864","49078","115",CHIPPING NORTON,"1256"
"10477590000",150.9585178000,-33.9508248000,"1632","4339","215",HAMMONDVILLE,"1632"
"10477600000",150.9586528000,-33.9169003000,"1259","49834","106",CHIPPING NORTON,"1016"
"10477610000",150.9589581000,-33.9194936000,"3932","50811","93",CHIPPING NORTON,"3729"
"10477620000",150.9589943000,-33.9202233000,"2401","42214","97",CHIPPING NORTON,"2223"
"10477630000",150.9606686000,-33.9260712000,"2488","68410","117",CHIPPING NORTON,"1977"
"10477640000",150.9613204000,-33.9011690000,"1818","51643","0",CHIPPING NORTON,"1566"
"10477650000",150.9617011000,-33.9268692000,"5264","84868","107",CHIPPING NORTON,"3216"
"10477660000",150.9649065000,-33.9135363000,"1451","9086","155",CHIPPING NORTON,"1478"
"10477670000",150.9655548000,-33.9012420000,"787","2914","0",CHIPPING NORTON,"787"
"10477680000",150.8765120000,-33.9051934000,"2759","50749","151",BUSBY,"2000"
"10477690000",150.8772356000,-33.9085503000,"3111","71095","104",BUSBY,"2074"
"10477700000",150.8759854000,-33.9094700000,"3194","81859","130",BUSBY,"1675"
"10477710000",150.8769858000,-33.9112771000,"4131","86315","128",BUSBY,"1961"
"10477720000",150.8747129000,-33.9199200000,"3510","46189","234",MILLER,"2287"
"10477730000",150.8743192000,-33.9209222000,"5561","69962","156",MILLER,"2202"
"10477740000",150.8908840000,-33.9357261000,"8259","68753","95",LURNEA,"5267"
"10477750000",150.8904067000,-33.9407184000,"6343","67807","121",LURNEA,"3437"
"10477760000",150.8787583000,-33.9063077000,"2521","46398","237",BUSBY,"1623"
"10477780000",150.8799655000,-33.9067564000,"1852","30149","0",BUSBY,"1774"
"10477800000",150.8826384000,-33.9059052000,"1624","56607","5",BUSBY,"1397"
"10477810000",150.8853426000,-33.9072340000,"2100","58106","90",HECKENBERG,"1469"
"10477820000",150.8789825000,-33.9096984000,"2013","48608","201",BUSBY,"1622"
"10477830000",150.8791481000,-33.9082814000,"2342","46336","131",BUSBY,"1805"
"10477840000",150.8806209000,-33.9096893000,"2267","40518","145",BUSBY,"1511"
"10477850000",150.8816281000,-33.9088452000,"1574","28581","130",BUSBY,"1574"
"10477860000",150.9635466000,-33.9122972000,"1091","10649","95",CHIPPING NORTON,"906"
"10477870000",150.9636132000,-33.9118972000,"1010","9235","93",CHIPPING NORTON,"912"
"10477880000",150.9649863000,-33.9114157000,"336","4499","56",CHIPPING NORTON,"336"
"10477890000",150.9550047000,-33.9300260000,"3145","73394","60",MOOREBANK,"1491"
"10477920000",150.9326447000,-33.9080761000,"466","55252","144",WARWICK FARM,"466"
"10477940000",150.9312487000,-33.9155330000,"20090","80395","227",WARWICK FARM,"20062"
"10477950000",150.9299609000,-33.9154632000,"29320","79695","186",WARWICK FARM,"27435"
"10477960000",150.9305931000,-33.9155042000,"26200","86403","121",WARWICK FARM,"24461"
"10477970000",150.9300225000,-33.9151416000,"25337","83805","126",WARWICK FARM,"25908"
"10477980000",150.9306470000,-33.9152090000,"21762","85784","266",WARWICK FARM,"20023"
"10477990000",150.9265450000,-33.9166414000,"31784","87228","355",LIVERPOOL,"29263"
"10478010000",150.9297935000,-33.9159079000,"29452","83412","116",WARWICK FARM,"27652"
"10478020000",150.9304792000,-33.9144296000,"4160","83281","235",WARWICK FARM,"4135"
"10478030000",150.9304383000,-33.9159184000,"28591","82920","150",WARWICK FARM,"26801"
"10478060000",150.9132233000,-33.9175039000,"26294","88549","64",LIVERPOOL,"2122"
"10478070000",150.9159468000,-33.9174802000,"26423","84276","51",LIVERPOOL,"10446"
"10478100000",150.9266255000,-33.9177687000,"32853","95407","119",LIVERPOOL,"31717"
"10478110000",150.9262062000,-33.9172897000,"31048","87205","148",LIVERPOOL,"30304"
"10478120000",150.9295960000,-33.9171787000,"30228","82671","70",LIVERPOOL,"28377"
"10478130000",150.9296675000,-33.9168921000,"29507","80086","102",LIVERPOOL,"27618"
"10478140000",150.9197098000,-33.9198077000,"25432","101204","191",LIVERPOOL,"22235"
"10478150000",150.9205815000,-33.9181991000,"22585","89867","176",LIVERPOOL,"21918"
"10478160000",150.9206401000,-33.9178967000,"22780","90741","170",LIVERPOOL,"22206"
"10478170000",150.9191782000,-33.9226003000,"28911","111482","109",LIVERPOOL,"24243"
